name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Indrek Aarna,---,951,---,751,40-44,---,EST,EST,---,---,01:27:16,3.9 km,00:06:44,05:33:07,180.2 km,00:03:52,04:24:16,42.2 km,11:35:15
Clemens Abel,---,---,DNF,752,40-44,46,---,---,---,---,01:34:06,3.9 km,00:10:20,06:06:48,180.2 km,00:06:08,---,42.2 km,DNF
Javier Abel Saez,---,---,DNS,753,35-39,---,ESP,---,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Martin Abesser,---,930,---,754,40-44,---,GER,---,---,---,01:27:51,3.9 km,00:05:54,05:51:11,180.2 km,00:01:52,04:06:40,42.2 km,11:33:28
David Abraham,---,926,---,755,40-44,---,GBR,GBR,---,---,01:22:15,3.9 km,00:07:19,05:35:13,180.2 km,00:01:34,04:26:24,42.2 km,11:32:45
Louise Abraham,---,1547,---,451,45-49,54,SA,AUS,---,---,01:19:01,3.9 km,00:04:54,06:50:00,180.2 km,00:02:46,04:32:26,42.2 km,12:49:07
Sidsel Abrahamsen,---,948,---,577,30-34,42,---,DNK,---,---,01:24:46,3.9 km,00:04:53,05:53:38,180.2 km,00:02:00,04:09:49,42.2 km,11:35:06
Lisa Abrey,---,668,---,452,35-39,42,---,GBR,---,---,01:15:41,3.9 km,00:05:27,05:37:19,180.2 km,00:03:03,04:00:57,42.2 km,11:02:27
Marwin Achenbach,---,1157,---,756,30-34,0,GER,---,---,---,01:46:26,3.9 km,00:06:35,05:39:08,180.2 km,00:03:04,04:19:01,42.2 km,11:54:14
Sebastian Achenbach,---,693,---,757,30-34,39,---,---,---,---,01:05:41,3.9 km,00:06:51,05:44:20,180.2 km,00:02:11,04:06:52,42.2 km,11:05:55
Paul Adams,---,1020,---,758,45-49,53,Dorset,GBR,---,---,01:26:32,3.9 km,00:05:31,05:47:48,180.2 km,00:02:29,04:19:32,42.2 km,11:41:52
Wael Adlouni,---,72,---,760,35-39,---,DEN,DNK,---,---,01:07:47,3.9 km,00:04:48,05:09:33,180.2 km,00:01:53,03:10:11,42.2 km,09:34:12
Kai Adolph,---,401,---,109,40-44,---,GER,---,---,---,01:07:54,3.9 km,00:03:54,05:14:16,180.2 km,00:03:02,04:03:37,42.2 km,10:32:43
Alireza Afshar,---,---,DNF,762,35-39,---,GER,---,---,---,02:31:02,3.9 km,---,---,180.2 km,---,---,42.2 km,DNF
