name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Igor Amorelli,1,1,1,30,PRO,31,Santa Catarina,BRA,---,5000,00:46:16,3.9 km,00:02:12,04:40:41,180.2 km,00:01:53,02:57:15,42.2 km,08:28:17
Mark Oude Bennink,2,2,2,20,PRO,29,NL,NLD,---,4934,00:46:18,3.9 km,00:02:11,04:47:26,180.2 km,00:01:41,02:56:08,42.2 km,08:33:44
Bas Diederen,3,3,3,1,PRO,36,---,NLD,---,4908,00:46:22,3.9 km,00:02:13,04:40:33,180.2 km,00:02:22,03:04:27,42.2 km,08:35:57
Erik-Simon Strijk,4,4,4,11,PRO,31,NL,NLD,---,4700,00:51:19,3.9 km,00:02:39,04:56:15,180.2 km,00:03:04,02:59:58,42.2 km,08:53:15
Diego Van Looy,5,5,5,15,PRO,25,BE,BEL,---,4678,01:04:05,3.9 km,00:04:34,04:56:01,180.2 km,00:01:49,02:48:36,42.2 km,08:55:05
Mike Schifferle,7,6,7,8,PRO,43,---,CHE,---,4563,00:56:56,3.9 km,00:04:00,04:55:54,180.2 km,00:03:26,03:04:23,42.2 km,09:04:39
Michael Van Cleven,8,7,8,19,PRO,27,Intl State,BEL,---,4539,00:47:57,3.9 km,00:02:53,04:45:39,180.2 km,00:02:19,03:27:54,42.2 km,09:06:42
Lucky Berlage,10,8,10,5,PRO,43,Intl State,BEL,---,4436,00:57:00,3.9 km,00:03:35,05:02:59,180.2 km,00:02:33,03:09:10,42.2 km,09:15:17
James Curran,11,1,11,268,30-34,32,Munster,IRL,---,5000,00:56:57,3.9 km,00:02:47,05:15:09,180.2 km,00:01:49,02:59:16,42.2 km,09:15:58
Frederik Waer,12,2,12,361,30-34,33,BE,BEL,---,4922,00:57:15,3.9 km,00:05:08,05:05:55,180.2 km,00:03:36,03:10:30,42.2 km,09:22:24
Sam De Bruyn,13,3,13,758,30-34,31,---,BEL,---,4913,01:00:29,3.9 km,00:02:50,05:14:48,180.2 km,00:02:13,03:02:52,42.2 km,09:23:12
Mary Beth Ellis,1,1,14,57,PRO,39,MA,USA,---,5000,00:48:18,3.9 km,00:02:32,05:14:41,180.2 km,00:02:03,03:17:08,42.2 km,09:24:42
Thomas Leboucher,14,9,15,14,PRO,35,FR,FRA,---,4311,00:51:24,3.9 km,00:02:39,05:12:05,180.2 km,00:02:22,03:17:09,42.2 km,09:25:39
Haukur Heimisson,15,4,16,173,30-34,31,---,GBR,---,4860,00:52:21,3.9 km,00:03:24,05:12:33,180.2 km,00:01:55,03:17:23,42.2 km,09:27:36
Marco Corti,16,5,17,381,30-34,---,---,ITA,---,4849,01:04:13,3.9 km,00:04:40,05:09:36,180.2 km,00:03:24,03:06:38,42.2 km,09:28:31
Chris Brands,17,1,18,139,45-49,46,NL,NLD,---,5000,00:51:38,3.9 km,00:02:46,05:05:58,180.2 km,00:03:11,03:25:33,42.2 km,09:29:06
Demian Barrenstein,18,1,19,938,35-39,35,---,DEU,---,5000,00:51:10,3.9 km,00:03:08,05:12:32,180.2 km,00:01:42,03:20:59,42.2 km,09:29:31
Roy Lagerburg,19,6,20,308,30-34,30,---,NLD,---,4831,00:56:28,3.9 km,00:02:33,05:13:44,180.2 km,00:01:53,03:15:21,42.2 km,09:29:59
Pieter Duyck,20,7,21,771,30-34,34,BE,BEL,---,4823,01:05:12,3.9 km,00:04:10,05:09:56,180.2 km,00:02:55,03:08:29,42.2 km,09:30:42
Xavier Diepart,21,2,22,988,35-39,37,Intl State,BEL,---,4984,00:54:38,3.9 km,00:02:57,05:19:08,180.2 km,00:01:54,03:12:14,42.2 km,09:30:51
Dirk Dexters,22,8,23,769,30-34,31,BE,BEL,---,4801,00:57:34,3.9 km,00:04:13,05:20:27,180.2 km,00:02:47,03:07:31,42.2 km,09:32:32
Thomas Hughes,23,9,24,801,30-34,30,Yorkshire,GBR,---,4797,00:59:47,3.9 km,00:03:38,05:11:12,180.2 km,00:03:53,03:14:22,42.2 km,09:32:52
Alexis Monterrat,24,3,25,199,35-39,35,---,FRA,---,4942,00:52:10,3.9 km,00:04:17,05:16:05,180.2 km,00:02:23,03:19:25,42.2 km,09:34:20
Eddy Rombouts,25,1,26,331,40-44,42,BE,BEL,---,5000,00:58:55,3.9 km,00:03:58,05:12:21,180.2 km,00:02:24,03:18:00,42.2 km,09:35:38
Koen Overmars,26,2,27,204,40-44,40,---,NLD,---,4998,00:57:03,3.9 km,00:03:21,05:12:25,180.2 km,00:02:57,03:20:02,42.2 km,09:35:48
Bob Martens,27,1,28,316,25-29,27,---,NLD,---,5000,00:52:29,3.9 km,00:03:28,05:13:15,180.2 km,00:02:40,03:24:00,42.2 km,09:35:52
Jean-Christophe Leclercq,28,3,29,189,40-44,42,---,FRA,---,4988,00:58:36,3.9 km,00:03:57,05:16:28,180.2 km,00:02:55,03:14:38,42.2 km,09:36:34
Raul Delgado Herrero,29,4,30,277,40-44,42,ES,ESP,---,4983,00:57:20,3.9 km,00:04:15,05:26:59,180.2 km,00:03:06,03:05:21,42.2 km,09:37:01
