name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Tim Smith,1,1,1,149,30-34,32,NY,NZL,---,5000,00:41:16,2.4 mi,00:04:13,04:38:34,112 mi,00:03:29,03:10:49,26.2 mi,08:38:21
Christopher Thomas,2,1,2,159,40-44,44,---,USA,---,5000,00:43:26,2.4 mi,00:03:16,04:49:12,112 mi,00:04:04,03:10:23,26.2 mi,08:50:21
Matias Palavecino,3,2,3,1343,30-34,34,---,USA,---,4846,00:42:57,2.4 mi,00:03:29,04:46:09,112 mi,00:03:44,03:14:48,26.2 mi,08:51:07
Aaron Church,4,2,4,378,40-44,41,VA,USA,---,4881,00:48:34,2.4 mi,00:04:25,04:57:02,112 mi,00:04:03,03:06:11,26.2 mi,09:00:15
Jorge Gonzalez,5,1,5,1480,35-39,39,PR,PRI,---,5000,00:43:53,2.4 mi,00:05:31,04:47:03,112 mi,00:03:12,03:22:37,26.2 mi,09:02:16
Brian Bachor,6,3,6,208,30-34,32,VA,USA,---,4703,00:44:06,2.4 mi,00:05:01,04:47:34,112 mi,00:03:40,03:22:44,26.2 mi,09:03:05
Edward Walker,7,1,7,166,45-49,47,OH,USA,---,5000,00:44:06,2.4 mi,00:06:09,04:53:40,112 mi,00:03:53,03:21:59,26.2 mi,09:09:47
Timothy Mulligan,8,4,8,1338,30-34,35,NJ,USA,---,4595,00:48:10,2.4 mi,00:07:51,05:03:52,112 mi,00:04:55,03:07:17,26.2 mi,09:12:05
Max Venker,9,1,9,2654,25-29,28,MD,USA,---,5000,00:42:00,2.4 mi,00:04:14,04:47:12,112 mi,00:03:32,03:36:50,26.2 mi,09:13:48
Rodrigo Gabriel,10,5,10,1296,30-34,32,Intl State,GTM,---,4538,00:46:34,2.4 mi,00:06:33,04:57:17,112 mi,00:04:15,03:22:11,26.2 mi,09:16:50
Brandt Stiggins,11,2,11,1616,35-39,35,OH,USA,---,4800,00:51:07,2.4 mi,00:06:38,05:02:08,112 mi,00:04:55,03:14:05,26.2 mi,09:18:53
Ben Graham,12,3,12,367,35-39,40,---,USA,---,4774,00:48:36,2.4 mi,00:10:52,04:59:06,112 mi,00:05:37,03:16:54,26.2 mi,09:21:05
John Kelly,13,6,13,1316,30-34,31,MD,USA,---,4469,00:48:47,2.4 mi,00:03:55,05:11:59,112 mi,00:04:23,03:13:29,26.2 mi,09:22:33
Harvey Gayer,14,2,14,162,45-49,48,GA,USA,---,4833,00:52:16,2.4 mi,00:07:09,04:52:20,112 mi,00:04:09,03:27:44,26.2 mi,09:23:38
Ed Merriken,15,7,15,148,30-34,33,---,USA,---,4452,00:45:10,2.4 mi,00:04:44,05:07:36,112 mi,00:04:07,03:22:24,26.2 mi,09:24:01
Adam Hicken,16,3,16,156,40-44,43,UT,USA,---,4572,00:48:39,2.4 mi,00:06:21,04:51:55,112 mi,00:04:58,03:34:05,26.2 mi,09:25:58
Brendan Loehr,17,4,17,230,35-39,37,TX,USA,---,4713,00:44:49,2.4 mi,00:07:35,04:57:44,112 mi,00:04:53,03:31:10,26.2 mi,09:26:11
Kenneth Jones,18,5,18,151,35-39,37,FL,USA,---,4694,00:52:41,2.4 mi,00:12:21,04:58:46,112 mi,00:05:27,03:18:31,26.2 mi,09:27:46
Mark Swanlund,19,1,19,418,50-54,52,---,USA,---,5000,00:42:09,2.4 mi,00:06:05,05:15:38,112 mi,00:04:58,03:19:27,26.2 mi,09:28:17
Thomas Mark Whatley,20,6,20,21,35-39,39,NY,USA,---,4673,00:44:43,2.4 mi,00:06:04,05:06:05,112 mi,00:06:55,03:25:42,26.2 mi,09:29:29
Karl O'Reilly,21,7,21,233,35-39,36,NJ,IRL,---,4668,00:54:23,2.4 mi,00:06:42,05:03:51,112 mi,00:05:15,03:19:45,26.2 mi,09:29:56
John Clark,22,8,22,1440,35-39,37,NC,USA,---,4663,00:47:33,2.4 mi,00:05:56,04:52:05,112 mi,00:04:46,03:40:01,26.2 mi,09:30:21
Randy Clark,23,4,23,1713,40-44,41,NH,USA,---,4514,00:53:18,2.4 mi,00:05:44,04:49:30,112 mi,00:03:49,03:38:29,26.2 mi,09:30:50
Eric Siebert,24,9,24,154,35-39,38,ON,CAN,---,4650,00:51:19,2.4 mi,00:04:45,05:04:35,112 mi,00:04:43,03:26:04,26.2 mi,09:31:26
JOHN KILBURN,25,5,25,157,40-44,44,---,USA,---,4482,00:43:33,2.4 mi,00:05:13,05:06:54,112 mi,00:04:12,03:33:37,26.2 mi,09:33:29
Michal Kovac,26,10,26,1518,35-39,37,SC,SVK,---,4617,00:47:58,2.4 mi,00:07:51,05:04:48,112 mi,00:06:52,03:26:41,26.2 mi,09:34:10
