name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
 ,---,750,---,215,25-29,32,ACT,JPN,---,---,01:26:38,3.9 km,00:10:21,06:51:38,180.2 km,00:02:05,04:23:32,42.2 km,12:54:14
Ben Ackerman,---,630,---,251,30-34,38,Bay of Plenty,NZL,---,---,01:11:36,3.9 km,00:10:36,06:28:45,180.2 km,00:05:36,04:27:36,42.2 km,12:24:09
Robyn Ackermann,---,638,---,1050,45-49,55,Northland,NZL,---,---,01:12:28,3.9 km,00:08:22,06:35:06,180.2 km,00:02:57,04:27:16,42.2 km,12:26:09
Mike Adair,---,---,DNS,1198,55-59,61,---,NZL,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Deanna Adami,---,726,---,631,35-39,41,CO,USA,---,---,01:32:17,3.9 km,00:08:30,06:29:06,180.2 km,00:04:22,04:35:39,42.2 km,12:49:54
Jonathon Adams,---,298,---,252,30-34,116,NSW,GBR,---,---,01:06:59,3.9 km,00:07:27,05:47:28,180.2 km,00:03:10,03:52:11,42.2 km,10:57:15
Fabien Aeberli,---,289,---,463,35-39,42,---,FRA,---,---,01:09:08,3.9 km,00:08:23,05:59:50,180.2 km,00:02:46,03:35:36,42.2 km,10:55:43
Evan Agnew,---,436,---,119,25-29,35,---,NZL,---,---,01:12:36,3.9 km,00:08:07,06:06:52,180.2 km,00:04:07,04:01:14,42.2 km,11:32:56
Emile Boey Alam,---,187,---,701,40-44,49,NSW,AUS,---,---,01:05:16,3.9 km,00:06:19,05:35:19,180.2 km,00:01:53,03:40:07,42.2 km,10:28:54
Robert Aldridge,---,730,---,1199,55-59,63,---,NZL,---,---,01:24:21,3.9 km,00:09:24,06:22:43,180.2 km,00:04:40,04:49:43,42.2 km,12:50:51
Jeremy Aldworth,---,826,---,253,30-34,39,Bay of Plenty,NZL,---,---,01:05:32,3.9 km,00:08:02,06:47:24,180.2 km,00:08:57,05:12:34,42.2 km,13:22:29
Jovine Alessandro,---,955,---,1266,60-64,66,Italy,ITA,---,---,01:10:40,3.9 km,00:08:37,07:07:02,180.2 km,00:02:38,05:42:47,42.2 km,14:11:44
Craig Alexander,---,975,---,911,45-49,52,---,NZL,---,---,01:19:10,3.9 km,00:07:04,07:03:08,180.2 km,00:11:47,05:43:23,42.2 km,14:24:32
Sean Philip Alexander,---,---,DNS,464,35-39,44,---,HKG,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Chris Allan,---,150,---,254,30-34,38,---,NZL,---,---,00:55:27,3.9 km,00:06:31,05:24:02,180.2 km,00:02:17,03:47:44,42.2 km,10:16:01
"""lynn Butch"""""""""" Allen",---,786,---,465,35-39,44,NC,USA,---,---,01:25:51,3.9 km,00:05:08,06:46:04,180.2 km,00:01:52,04:44:47,42.2 km,13:03:42
David Allen,---,425,---,120,25-29,34,Surrey,GBR,---,---,01:04:38,3.9 km,00:05:27,05:51:43,180.2 km,00:04:06,04:25:04,42.2 km,11:30:58
James Allen,---,328,---,912,45-49,55,---,NZL,---,---,01:12:30,3.9 km,00:09:31,05:37:57,180.2 km,00:02:45,04:01:23,42.2 km,11:04:06
Trevor Allen,---,861,---,1089,50-54,58,---,AUS,---,---,01:00:42,3.9 km,00:07:42,06:38:15,180.2 km,00:04:45,05:41:11,42.2 km,13:32:35
Matthew Alley,---,---,DNF,255,30-34,39,Auckland,NZL,---,---,01:09:10,3.9 km,00:06:58,06:21:37,180.2 km,00:04:06,---,42.2 km,DNF
Michele Allison,---,449,---,1246,55-59,60,---,NZL,---,---,01:04:06,3.9 km,00:05:49,06:23:28,180.2 km,00:02:00,03:59:44,42.2 km,11:35:07
Chris Allum,---,367,---,913,45-49,50,---,NZL,---,---,01:09:04,3.9 km,00:09:10,05:57:29,180.2 km,00:06:22,03:54:35,42.2 km,11:16:40
Philipp Altenbuchner,---,43,---,89,18-24,29,---,DEU,---,---,00:54:42,3.9 km,00:04:31,05:09:05,180.2 km,00:01:05,03:30:31,42.2 km,09:39:54
Gilles Altner,---,1050,---,914,45-49,53,---,NZL,---,---,01:26:00,3.9 km,00:12:21,07:12:47,180.2 km,00:26:52,06:05:57,42.2 km,15:23:57
Gaurang Ambani,---,1107,---,41,25-29,32,Waikato,IND,---,---,01:48:57,3.9 km,00:09:16,07:31:05,180.2 km,00:08:51,07:05:52,42.2 km,16:44:01
Kim Andersen,---,673,---,876,40-44,46,---,NZL,---,---,01:08:29,3.9 km,00:08:10,06:19:34,180.2 km,00:03:05,04:58:05,42.2 km,12:37:23
Charles Anderson,---,821,---,1200,55-59,61,Auckland,GBR,---,---,01:19:57,3.9 km,00:09:41,06:39:55,180.2 km,00:04:59,05:06:38,42.2 km,13:21:10
Nicole Anderson,---,1024,---,632,35-39,41,---,AUS,---,---,01:31:00,3.9 km,00:08:27,07:14:57,180.2 km,00:06:32,06:00:40,42.2 km,15:01:36
Tim Anderson,---,356,---,1090,50-54,56,---,NZL,---,---,01:02:33,3.9 km,00:07:38,05:43:41,180.2 km,00:02:00,04:17:59,42.2 km,11:13:51
YOSHIRO ANDO,---,---,DNS,1201,55-59,61,---,JPN,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Marc Andrew,---,401,---,702,40-44,50,Waikato,NZL,---,---,01:01:30,3.9 km,00:07:51,06:01:05,180.2 km,00:02:59,04:12:30,42.2 km,11:25:55
Culley Angus,---,486,---,256,30-34,38,---,NZL,---,---,01:09:11,3.9 km,00:07:15,05:59:00,180.2 km,00:03:02,04:27:37,42.2 km,11:46:05
Kevin Ankuda,---,369,---,121,25-29,32,OH,USA,---,---,00:57:51,3.9 km,00:07:41,05:52:09,180.2 km,00:05:15,04:14:25,42.2 km,11:17:21
Jennifer Arden,---,642,---,410,30-34,37,CA,USA,---,---,01:29:49,3.9 km,00:06:47,07:07:24,180.2 km,00:08:42,03:34:22,42.2 km,12:27:04
Richard Arderne,---,587,---,42,40-44,46,Bay of Plenty,NZL,---,---,01:05:47,3.9 km,00:07:00,05:56:30,180.2 km,00:04:14,04:55:15,42.2 km,12:08:46
Hayden Armstrong,---,7,---,257,30-34,37,TAS,AUS,---,---,00:51:54,3.9 km,00:04:38,05:01:03,180.2 km,00:01:15,03:08:06,42.2 km,09:06:56
