name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Harry Wiltshire,1,1,1,6,PRO,33,Intl State,GBR,---,5000,00:50:24,3.9 km,00:02:11,04:31:33,180.2 km,00:02:02,02:51:04,42.2 km,08:17:14
Tim Brydenbach,2,2,2,20,PRO,32,Intl State,BEL,---,4984,00:50:25,3.9 km,00:02:30,04:31:22,180.2 km,00:02:36,02:51:41,42.2 km,08:18:34
Ivan Risti,3,3,3,4,PRO,36,MI,ITA,---,4967,00:50:18,3.9 km,00:02:29,04:31:20,180.2 km,00:02:05,02:53:46,42.2 km,08:19:58
Trevor Delsaut,4,4,4,8,PRO,31,---,FRA,---,4944,00:57:15,3.9 km,00:02:20,04:30:31,180.2 km,00:02:56,02:48:49,42.2 km,08:21:51
Christian Brader,5,5,5,1,PRO,36,---,DEU,---,4934,00:58:22,3.9 km,00:02:52,04:33:20,180.2 km,00:02:32,02:45:37,42.2 km,08:22:43
Marc Duelsen,6,6,6,10,PRO,31,DE,DEU,---,4902,00:57:36,3.9 km,00:02:29,04:27:11,180.2 km,00:02:20,02:55:44,42.2 km,08:25:20
Hannes Cool,7,7,7,22,PRO,30,BE,BEL,---,4872,00:57:44,3.9 km,00:03:37,04:33:05,180.2 km,00:02:33,02:50:55,42.2 km,08:27:54
Samuel Huerzeler,8,8,8,29,PRO,32,---,CHE,---,4821,00:56:11,3.9 km,00:04:00,04:34:28,180.2 km,00:02:39,02:54:51,42.2 km,08:32:09
Kaito Tohara,9,9,9,13,PRO,27,kanagawa,JPN,---,4807,00:57:44,3.9 km,00:03:28,04:34:26,180.2 km,00:03:40,02:53:59,42.2 km,08:33:17
Lionel Roye,10,1,10,114,35-39,38,---,FRA,---,5000,00:59:07,3.9 km,00:03:41,04:45:27,180.2 km,00:03:21,02:55:48,42.2 km,08:47:24
Julian Eleouet,11,1,11,635,25-29,28,---,FRA,---,5000,01:01:17,3.9 km,00:04:56,04:43:59,180.2 km,00:03:08,02:59:58,42.2 km,08:53:18
John Galindo,12,10,12,16,PRO,37,ES,ESP,---,4564,00:54:31,3.9 km,00:03:37,04:45:53,180.2 km,00:03:15,03:06:15,42.2 km,08:53:31
Vincent Fromont,13,2,13,975,35-39,38,---,FRA,---,4913,01:00:28,3.9 km,00:03:14,04:43:26,180.2 km,00:03:14,03:04:17,42.2 km,08:54:39
James Curran,14,1,14,271,30-34,32,Munster,IRL,---,5000,01:08:26,3.9 km,00:02:25,04:40:42,180.2 km,00:02:57,03:00:17,42.2 km,08:54:47
Fernando Santander De La Muñoza,15,2,15,860,30-34,30,---,ESP,---,4996,00:55:01,3.9 km,00:04:07,04:40:21,180.2 km,00:02:35,03:13:02,42.2 km,08:55:06
Clément Eberly,16,2,16,634,25-29,29,FR,FRA,---,4977,01:03:29,3.9 km,00:04:22,04:36:58,180.2 km,00:03:37,03:06:43,42.2 km,08:55:09
Mark Scheuring,17,1,17,335,18-24,20,DE,DEU,---,5000,00:54:50,3.9 km,00:03:38,04:51:00,180.2 km,00:03:04,03:03:54,42.2 km,08:56:26
Mike Schifferle,18,11,18,3,PRO,43,---,CHE,---,4529,01:02:37,3.9 km,00:03:34,04:30:33,180.2 km,00:04:57,03:14:46,42.2 km,08:56:27
Guillaume Montoisy,19,3,19,199,30-34,30,BE,BEL,---,4963,00:58:52,3.9 km,00:04:15,04:45:37,180.2 km,00:04:28,03:04:36,42.2 km,08:57:48
Waldemar Grichting,20,1,20,92,40-44,39,---,CHE,---,5000,01:09:50,3.9 km,00:03:20,04:38:01,180.2 km,00:02:55,03:04:23,42.2 km,08:58:29
Bart De Vrieze,21,4,21,275,30-34,31,---,BEL,---,4942,01:02:46,3.9 km,00:02:53,04:41:25,180.2 km,00:04:07,03:08:25,42.2 km,08:59:36
Thomas Scheel,22,3,22,1884,35-39,35,---,DEU,---,4837,01:03:46,3.9 km,00:04:25,04:38:28,180.2 km,00:03:47,03:10:29,42.2 km,09:00:55
Christophe Bastie,23,12,23,9,PRO,47,FR,FRA,---,4473,00:58:27,3.9 km,00:02:57,04:35:29,180.2 km,00:03:21,03:20:53,42.2 km,09:01:07
Lucky Berlage,24,13,24,19,PRO,43,Intl State,BEL,---,4468,01:05:29,3.9 km,00:06:31,04:36:23,180.2 km,00:02:53,03:10:14,42.2 km,09:01:30
Arnaud Selukov,25,1,25,1886,45-49,47,---,FRA,---,5000,01:02:35,3.9 km,00:03:16,04:44:49,180.2 km,00:02:25,03:09:09,42.2 km,09:02:14
Andreas Niedrig,26,14,26,11,PRO,48,---,DEU,---,4455,00:50:32,3.9 km,00:03:36,04:22:29,180.2 km,00:03:11,03:42:49,42.2 km,09:02:37
Felix Hohm,27,3,27,96,25-29,28,---,DEU,---,4879,01:02:37,3.9 km,00:03:33,04:48:13,180.2 km,00:02:27,03:06:31,42.2 km,09:03:21
Massimo Giacopuzzi,28,4,28,169,35-39,35,VERONA,ITA,---,4803,01:03:57,3.9 km,00:04:36,04:47:55,180.2 km,00:04:00,03:03:18,42.2 km,09:03:46
Olivier Esser,29,15,29,25,PRO,35,Intl State,BEL,---,4441,00:58:32,3.9 km,00:03:28,04:44:20,180.2 km,00:03:06,03:14:21,42.2 km,09:03:47
Juanma Cardenas-Maestre,30,5,30,262,30-34,34,---,ESP,---,4888,01:10:34,3.9 km,00:05:23,04:47:59,180.2 km,00:02:53,02:57:16,42.2 km,09:04:05
Florent Dautel,31,2,31,1178,40-44,40,---,FRA,---,4929,01:04:19,3.9 km,00:04:29,04:46:01,180.2 km,00:02:58,03:06:35,42.2 km,09:04:22
Alexandre Florimond,32,5,32,971,35-39,35,---,FRA,---,4792,01:04:52,3.9 km,00:03:44,04:41:32,180.2 km,00:03:16,03:11:17,42.2 km,09:04:41
Brent Patteeuw,33,4,33,692,25-29,27,---,BEL,---,4862,01:02:27,3.9 km,00:05:01,04:47:35,180.2 km,00:02:48,03:06:56,42.2 km,09:04:47
Javier Pérez García,34,5,34,695,25-29,28,---,ESP,---,4851,01:11:53,3.9 km,00:03:15,04:44:57,180.2 km,00:02:25,03:03:13,42.2 km,09:05:43
Reto Walser,35,1,35,129,50-54,51,---,CHE,---,5000,01:07:37,3.9 km,00:02:48,04:39:59,180.2 km,00:03:06,03:12:29,42.2 km,09:05:59
Julen Saldias Ondarra,36,6,36,222,35-39,35,ES,ESP,---,4771,01:07:06,3.9 km,00:03:21,04:41:00,180.2 km,00:03:07,03:11:54,42.2 km,09:06:28
Koen Van Rie,37,3,37,125,40-44,44,---,BEL,---,4903,01:05:33,3.9 km,00:03:14,04:53:39,180.2 km,00:04:31,02:59:37,42.2 km,09:06:34
Guillaume Belgy,38,6,38,139,25-29,28,FR,FRA,---,4838,01:05:02,3.9 km,00:02:46,04:29:14,180.2 km,00:03:18,03:26:28,42.2 km,09:06:48
Enzo Bergamo,39,7,39,140,35-39,36,Italia,ITA,---,4758,01:07:53,3.9 km,00:03:21,04:45:43,180.2 km,00:02:50,03:07:45,42.2 km,09:07:32
Florian Luquet,40,7,40,674,25-29,26,Auvergne,FRA,---,4828,01:02:45,3.9 km,00:03:54,04:44:40,180.2 km,00:02:56,03:13:22,42.2 km,09:07:37
Tauty Nicolas,41,6,41,313,30-34,33,FR,FRA,---,4844,01:05:31,3.9 km,00:04:21,04:43:04,180.2 km,00:03:47,03:11:01,42.2 km,09:07:44
Tom Vickery,42,7,42,880,30-34,30,---,GBR,---,4822,01:03:51,3.9 km,00:02:48,04:48:26,180.2 km,00:02:55,03:11:35,42.2 km,09:09:35
Jose Miguel Herrero Tardon,43,8,43,992,35-39,37,---,ESP,---,4725,01:02:44,3.9 km,00:04:30,04:54:30,180.2 km,00:04:17,03:04:18,42.2 km,09:10:19
Bart Mathys,44,9,44,310,35-39,37,BE,BEL,---,4722,01:11:50,3.9 km,00:02:51,04:44:26,180.2 km,00:02:58,03:08:26,42.2 km,09:10:31
Matthias Dippong,45,8,45,87,30-34,33,DE,DEU,---,4808,01:02:21,3.9 km,00:04:31,04:42:21,180.2 km,00:02:40,03:18:53,42.2 km,09:10:46
Michael Dalmasso,46,10,46,949,35-39,36,---,FRA,---,4717,01:13:50,3.9 km,00:03:35,04:41:29,180.2 km,00:02:56,03:09:07,42.2 km,09:10:57
