name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Kenetsu Abe,---,742,---,671,45-49,53,Intl State,JPN,---,---,01:18:02,2.4 mi,00:05:41,05:46:49,112 mi,00:04:59,03:40:48,26.2 mi,10:56:19
Torsten Abel,---,---,DNF,70,PRO,42,AZ,DEU,---,---,00:52:53,2.4 mi,00:01:57,06:33:08,112 mi,00:27:19,---,26.2 mi,DNF
Jannicke Abramowski,---,1113,---,1868,18-24,29,---,DEU,---,---,01:05:28,2.4 mi,00:02:35,06:26:08,112 mi,00:03:16,04:19:41,26.2 mi,11:57:08
Rodrigo Acevedo,---,82,---,1836,18-24,30,CO,COL,---,---,01:06:17,2.4 mi,00:02:54,05:04:13,112 mi,00:02:22,03:08:51,26.2 mi,09:24:37
Jan Acuff,---,1086,---,561,50-54,61,WA,USA,---,---,01:07:20,2.4 mi,00:04:24,05:58:35,112 mi,00:06:01,04:35:16,26.2 mi,11:51:36
Mike Adamle,---,1446,---,187,60-64,66,IL,USA,---,---,01:33:51,2.4 mi,00:05:44,07:09:48,112 mi,00:04:12,05:14:04,26.2 mi,14:07:39
Rich Adams,---,1390,---,312,60-64,68,PA,USA,---,---,01:25:45,2.4 mi,00:05:55,07:07:58,112 mi,00:10:27,04:50:02,26.2 mi,13:40:07
Christin Aeberhard,---,---,DNF,1788,25-29,34,---,CHE,---,---,01:01:48,2.4 mi,00:02:55,05:48:03,112 mi,00:09:37,---,26.2 mi,DNF
Aimar Agirresarobe,---,247,---,1706,25-29,35,---,ESP,---,---,01:00:55,2.4 mi,00:02:38,05:10:10,112 mi,00:02:38,03:38:52,26.2 mi,09:55:13
Friedhelm Ahler,---,701,---,885,40-44,50,---,DEU,---,---,01:06:24,2.4 mi,00:03:52,05:24:32,112 mi,00:02:54,04:14:21,26.2 mi,10:52:03
Mike Aigroz,---,63,---,74,PRO,38,CH,CHE,---,---,00:52:47,2.4 mi,00:01:59,04:56:38,112 mi,00:02:11,03:24:59,26.2 mi,09:18:34
Krickel Alain,---,140,---,1185,35-39,46,liege,BEL,---,---,00:58:24,2.4 mi,00:03:01,05:09:56,112 mi,00:06:46,03:21:28,26.2 mi,09:39:35
Vincent Aldebert,---,340,---,1205,35-39,45,---,FRA,---,---,01:13:41,2.4 mi,00:03:31,05:01:15,112 mi,00:03:36,03:47:05,26.2 mi,10:09:08
Craig Alexander,---,1,---,1,PRO,43,NSW,AUS,---,---,00:50:57,2.4 mi,00:01:43,04:37:33,112 mi,00:02:03,02:48:05,26.2 mi,08:20:21
Vickie Alexander,---,1338,---,446,55-59,61,CA,USA,---,---,01:28:35,2.4 mi,00:04:37,06:43:19,112 mi,00:05:54,04:50:34,26.2 mi,13:12:59
Paolina Allan,---,444,---,118,PRO,46,ON,CAN,---,---,01:09:36,2.4 mi,00:02:19,05:24:53,112 mi,00:04:03,03:38:40,26.2 mi,10:19:31
George Allen,---,1188,---,322,60-64,67,TN,USA,---,---,01:28:31,2.4 mi,00:05:32,06:21:47,112 mi,00:03:28,04:18:39,26.2 mi,12:17:57
John Allen,---,810,---,516,50-54,33,SC,USA,---,---,01:12:44,2.4 mi,00:03:51,05:27:32,112 mi,00:06:13,04:14:54,26.2 mi,11:05:14
Clemente Alonso-Mckernan,---,17,---,75,PRO,38,---,ESP,---,---,00:51:04,2.4 mi,00:02:26,04:49:41,112 mi,00:07:14,02:58:28,26.2 mi,08:48:53
Adam Alper,---,223,---,1739,25-29,33,PA,USA,---,---,01:03:04,2.4 mi,00:02:54,05:21:11,112 mi,00:03:53,03:21:09,26.2 mi,09:52:11
Faris Al-Sultan,---,10,---,11,PRO,38,DE,DEU,---,---,00:50:53,2.4 mi,00:01:49,04:33:40,112 mi,00:02:12,03:03:10,26.2 mi,08:31:44
Charles Alvarez,---,1519,---,359,55-59,66,CA,USA,---,---,01:57:50,2.4 mi,00:05:37,06:47:31,112 mi,00:07:56,05:51:52,26.2 mi,14:50:46
Ivan Alvarez Gomez,---,224,---,1519,30-34,39,---,ESP,---,---,01:05:09,2.4 mi,00:04:18,05:24:52,112 mi,00:03:41,03:14:22,26.2 mi,09:52:22
Linnea Alvord,---,1334,---,1167,40-44,46,OR,USA,---,---,01:14:36,2.4 mi,00:03:27,05:57:27,112 mi,00:05:11,05:49:13,26.2 mi,13:09:54
Ezio Amatucci,---,413,---,1246,35-39,44,ITALIA,ITA,---,---,01:11:59,2.4 mi,00:03:19,05:19:01,112 mi,00:03:24,03:39:11,26.2 mi,10:16:54
Oakes Ames,---,571,---,382,55-59,63,CT,USA,---,---,01:13:53,2.4 mi,00:04:01,05:31:12,112 mi,00:03:34,03:44:07,26.2 mi,10:36:47
Paul Amey,---,---,DNS,16,PRO,43,---,GBR,---,---,---,2.4 mi,---,---,112 mi,---,---,26.2 mi,DNS
Amanda Amidon,---,1197,---,1419,35-39,43,DE,USA,---,---,01:11:44,2.4 mi,00:04:21,06:29:46,112 mi,00:10:22,04:27:04,26.2 mi,12:23:17
Cowman A-Moo-Ha,---,---,DNF,275,65-69,72,HI,USA,---,---,02:00:29,2.4 mi,00:19:20,---,112 mi,---,---,26.2 mi,DNF
George Amundson,---,1644,---,193,70-74,77,TX,USA,---,---,01:45:35,2.4 mi,00:08:30,07:40:46,112 mi,00:12:14,06:51:36,26.2 mi,16:38:41
Bent Andersen,---,46,---,91,45-49,52,DK,DNK,---,---,00:56:55,2.4 mi,00:02:18,05:04:47,112 mi,00:03:03,03:04:21,26.2 mi,09:11:24
Adrienne Anderson,---,1127,---,1395,35-39,45,GA,USA,---,---,01:28:23,2.4 mi,00:03:57,06:06:46,112 mi,00:07:20,04:13:11,26.2 mi,11:59:37
Harriet Anderson,---,1652,---,250,70-74,80,CA,USA,---,---,01:47:37,2.4 mi,00:05:07,07:35:50,112 mi,00:12:32,07:12:05,26.2 mi,16:53:11
Mitchell Anderson,---,34,---,76,PRO,41,---,AUS,---,---,00:57:21,2.4 mi,00:02:30,04:38:29,112 mi,00:02:38,03:23:37,26.2 mi,09:04:35
Ron Anderson,---,1262,---,672,45-49,53,CA,USA,---,---,01:14:23,2.4 mi,00:09:25,06:27:19,112 mi,00:15:44,04:36:35,26.2 mi,12:43:26
Hartmut Andres,---,---,DNF,399,55-59,62,---,DEU,---,---,01:12:03,2.4 mi,00:02:37,---,112 mi,---,---,26.2 mi,DNF
Judy Andrew Piel,---,1220,---,804,45-49,54,ON,CAN,---,---,01:11:19,2.4 mi,00:04:47,06:26:24,112 mi,00:06:17,04:41:48,26.2 mi,12:30:35
Jean-Louis Anfossi,---,1614,---,264,65-69,72,---,FRA,---,---,01:34:13,2.4 mi,00:09:13,07:41:21,112 mi,00:13:21,06:31:38,26.2 mi,16:09:46
John Annear,---,1115,---,517,50-54,57,---,AUS,---,---,01:19:10,2.4 mi,00:05:30,06:07:10,112 mi,00:06:01,04:19:45,26.2 mi,11:57:36
Johan Anthonis,---,548,---,673,45-49,53,---,BEL,---,---,01:10:53,2.4 mi,00:03:29,05:31:42,112 mi,00:03:52,03:43:33,26.2 mi,10:33:29
Philippe Anthony,---,161,---,1065,40-44,47,---,FRA,---,---,01:06:10,2.4 mi,00:03:38,05:14:06,112 mi,00:03:10,03:16:04,26.2 mi,09:43:08
Masataka Aoki,---,1416,---,297,60-64,70,---,JPN,---,---,01:29:36,2.4 mi,00:07:32,06:38:35,112 mi,00:06:54,05:26:55,26.2 mi,13:49:32
Andrea Apel,---,---,DNF,1396,35-39,44,---,DEU,---,---,01:09:25,2.4 mi,00:03:26,06:10:09,112 mi,00:05:04,---,26.2 mi,DNF
Lars Apitz,---,241,---,1020,40-44,47,---,DEU,---,---,00:59:57,2.4 mi,00:02:16,05:04:55,112 mi,00:02:47,03:44:27,26.2 mi,09:54:22
Takashi Arai,---,608,---,1174,35-39,45,---,JPN,---,---,01:02:16,2.4 mi,00:04:04,05:46:40,112 mi,00:06:49,03:41:36,26.2 mi,10:41:25
Florencio Arizio,---,1309,---,925,40-44,49,---,ARG,---,---,01:19:19,2.4 mi,00:05:39,06:42:32,112 mi,00:07:06,04:45:36,26.2 mi,13:00:12
Bodil Arlander,---,1027,---,834,45-49,52,CA,USA,---,---,01:18:15,2.4 mi,00:03:46,05:54:00,112 mi,00:05:03,04:18:09,26.2 mi,11:39:13
Dan Arlandson,---,445,---,1488,30-34,40,---,ATA,---,---,00:58:48,2.4 mi,00:04:23,05:08:44,112 mi,00:14:37,03:53:12,26.2 mi,10:19:44
