name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Chris Adam,---,230,---,446,40-44,48,---,AUS,---,---,01:00:45,3.9 km,00:07:28,05:39:09,180.2 km,00:05:14,04:05:41,42.2 km,10:58:17
Geoff Adams,---,894,---,675,45-49,52,VIC,AUS,---,---,01:23:18,3.9 km,00:05:41,07:20:39,180.2 km,00:07:21,05:38:31,42.2 km,14:35:30
Peter Adams,---,810,---,447,40-44,47,NSW,AUS,---,---,01:14:57,3.9 km,00:06:32,06:30:56,180.2 km,00:06:54,05:45:53,42.2 km,13:45:12
Susanne Adams,---,749,---,1094,40-44,45,---,AUS,---,---,01:21:37,3.9 km,00:04:47,07:21:36,180.2 km,00:06:13,04:28:59,42.2 km,13:23:12
Tim Adams,---,928,---,239,35-39,43,NSW,AUS,---,---,01:13:26,3.9 km,00:05:37,07:23:21,180.2 km,00:10:25,06:03:47,42.2 km,14:56:36
Gary Aitkenhead,---,538,---,819,50-54,58,NSW,AUS,---,---,01:10:53,3.9 km,00:03:02,06:41:18,180.2 km,00:03:00,04:15:07,42.2 km,12:13:20
Daryl Allen,---,---,DNF,973,60-64,---,NSW,AUS,---,---,01:10:40,3.9 km,00:09:45,07:00:22,180.2 km,00:08:49,---,42.2 km,DNF
Lise Andersen,---,245,---,1014,25-29,---,---,DNK,---,---,01:01:25,3.9 km,00:02:44,05:51:35,180.2 km,00:02:07,04:04:06,42.2 km,11:01:57
Julie Anderson,---,893,---,1059,35-39,44,---,AUS,---,---,01:20:15,3.9 km,00:05:27,07:11:29,180.2 km,00:07:35,05:50:36,42.2 km,14:35:22
Mitchell Anderson,---,7,---,240,35-39,41,---,AUS,---,---,00:50:14,3.9 km,00:01:34,04:40:42,180.2 km,00:01:13,03:22:32,42.2 km,08:56:15
Steven Anstee,---,57,---,67,25-29,34,WA,AUS,---,---,00:55:59,3.9 km,00:01:40,05:19:32,180.2 km,00:02:24,03:38:49,42.2 km,09:58:24
Alison Appleton,---,341,---,1148,50-54,57,NSW,AUS,---,---,01:03:31,3.9 km,00:02:57,06:00:30,180.2 km,00:02:35,04:15:48,42.2 km,11:25:21
Tony Applin,---,467,---,448,40-44,46,---,AUS,---,---,01:10:08,3.9 km,00:05:44,05:59:08,180.2 km,00:03:43,04:33:11,42.2 km,11:51:54
