name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Antonio Abascal,---,1115,---,800,35-39,---,---,MEX,---,---,01:16:11,3.9 km,00:05:22,06:13:38,180.2 km,00:05:41,04:12:43,42.2 km,11:53:35
David-Michael Abraham,---,690,---,801,35-39,---,---,GBR,---,---,01:08:23,3.9 km,00:05:15,05:49:48,180.2 km,00:04:41,03:56:57,42.2 km,11:05:04
Gerhard Achberger,---,830,---,802,35-39,---,---,AUT,---,---,01:07:46,3.9 km,00:06:47,05:44:02,180.2 km,00:06:49,04:14:58,42.2 km,11:20:22
Patrick Adam,---,470,---,364,30-34,---,---,DEU,---,---,00:57:55,3.9 km,00:03:30,05:28:26,180.2 km,00:05:07,04:07:35,42.2 km,10:42:33
Cameron Adams,---,304,---,365,30-34,---,---,AUS,---,---,00:55:16,3.9 km,00:04:24,05:19:56,180.2 km,00:04:17,03:55:12,42.2 km,10:19:05
Michael Adanitsch,---,1213,---,803,35-39,---,---,AUT,---,---,01:11:32,3.9 km,00:05:31,05:40:35,180.2 km,00:04:17,05:04:58,42.2 km,12:06:53
Ferry Adler,---,1478,---,366,30-34,---,---,DNK,---,---,01:15:39,3.9 km,00:06:59,05:54:17,180.2 km,00:09:06,05:16:40,42.2 km,12:42:41
Danek Aerden,---,359,---,367,30-34,42,BE,BEL,---,---,00:59:15,3.9 km,00:06:55,04:59:30,180.2 km,00:07:16,04:13:57,42.2 km,10:26:53
Octavio Aguilar,---,---,DNS,804,35-39,---,---,MEX,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Sascha Ainberger,---,196,---,1331,40-44,---,---,AUT,---,---,01:01:29,3.9 km,00:03:17,04:59:54,180.2 km,00:03:29,03:48:31,42.2 km,09:56:40
Roberto Airoldi,---,1800,---,2074,50-54,---,---,ITA,---,---,01:05:11,3.9 km,00:06:30,06:10:26,180.2 km,00:07:38,06:22:26,42.2 km,13:52:11
Auld Alan,---,660,---,805,35-39,---,---,GBR,---,---,00:54:37,3.9 km,00:03:39,05:38:39,180.2 km,00:03:16,04:19:46,42.2 km,10:59:57
Luis-Fernando Alcala,---,1779,---,806,35-39,---,---,MEX,---,---,01:21:48,3.9 km,00:10:33,06:30:03,180.2 km,00:11:12,05:31:29,42.2 km,13:45:05
Keith Allen-Shirtcliffe,---,1373,---,1332,40-44,---,---,GBR,---,---,01:27:47,3.9 km,00:11:29,06:25:23,180.2 km,00:10:44,04:13:36,42.2 km,12:28:59
Richard Allison,---,---,DNS,807,35-39,---,---,USA,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Michael Allmer,---,716,---,808,35-39,---,---,AUT,---,---,01:06:01,3.9 km,00:05:21,05:29:12,180.2 km,00:03:59,04:23:30,42.2 km,11:08:03
Monika Altenreiter,---,---,DNF,55,PRO,---,---,AUT,---,---,00:49:51,3.9 km,00:01:59,---,180.2 km,---,---,42.2 km,DNF
Othmar Altmann,---,93,---,1819,45-49,---,---,AUT,---,---,01:05:08,3.9 km,00:04:14,05:02:25,180.2 km,00:04:24,03:19:57,42.2 km,09:36:08
Rudolf Altmann,---,560,---,1333,40-44,---,---,AUT,---,---,01:24:11,3.9 km,00:06:14,05:28:47,180.2 km,00:06:27,03:45:39,42.2 km,10:51:18
Luis Alvarez,---,237,---,1334,40-44,---,---,MEX,---,---,00:59:48,3.9 km,00:05:25,05:17:46,180.2 km,00:06:52,03:36:24,42.2 km,10:06:15
Magdalena Alvarez-Delaborbolla,---,---,DNS,2470,50-54,---,---,MEX,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Teresa Ambe,---,1059,---,2337,35-39,---,---,MEX,---,---,01:13:58,3.9 km,00:06:17,06:23:52,180.2 km,00:05:51,03:57:12,42.2 km,11:47:10
Bernhard Ambros,---,832,---,809,35-39,---,---,AUT,---,---,01:17:21,3.9 km,00:09:26,05:45:50,180.2 km,00:08:16,03:59:33,42.2 km,11:20:26
Hans-Peter Ammann,---,---,DNS,2188,60-64,---,---,CHE,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Rodrigo Amor-Garay,---,708,---,101,18-24,---,---,MEX,---,---,01:03:38,3.9 km,00:04:44,05:37:45,180.2 km,00:04:27,04:16:27,42.2 km,11:07:01
Claus-Hjortshöj Andersen,---,---,DNF,810,35-39,---,---,DNK,---,---,01:08:02,3.9 km,00:06:38,---,180.2 km,---,---,42.2 km,DNF
