name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Michael Weiss,1,1,1,1,PRO,35,---,USA,---,5000,00:50:28,2.4 mi,00:02:25,04:22:20,112 mi,00:01:41,02:55:22,26.2 mi,08:12:16
Matt Chrabot,2,2,2,6,PRO,33,CO,USA,---,4789,00:44:27,2.4 mi,00:02:15,04:44:28,112 mi,00:01:38,02:57:02,26.2 mi,08:29:50
Clemente Alonso-Mckernan,3,3,3,5,PRO,38,---,ESP,---,4783,00:44:25,2.4 mi,00:01:59,04:44:43,112 mi,00:02:29,02:56:41,26.2 mi,08:30:17
Trevor Delsaut,4,4,4,10,PRO,31,---,FRA,---,4716,00:50:17,2.4 mi,00:02:10,04:46:32,112 mi,00:01:16,02:55:39,26.2 mi,08:35:54
Jonathan Shearon,5,5,5,39,PRO,36,AZ,USA,---,4599,00:50:20,2.4 mi,00:02:44,04:46:28,112 mi,00:02:28,03:03:41,26.2 mi,08:45:41
Marcel Bischof,6,6,6,42,PRO,---,---,DEU,---,4580,00:52:26,2.4 mi,00:03:04,04:49:47,112 mi,00:01:51,03:00:08,26.2 mi,08:47:16
Darby Thomas,7,7,7,35,PRO,33,Intl State,FIN,---,4568,00:58:01,2.4 mi,00:02:17,04:51:35,112 mi,00:01:14,02:55:08,26.2 mi,08:48:15
Matt Russell,8,8,8,4,PRO,33,FL,USA,---,4546,00:52:13,2.4 mi,00:02:26,04:47:22,112 mi,00:01:48,03:06:17,26.2 mi,08:50:06
Francisco Serrano,9,9,9,15,PRO,36,Intl State,MEX,---,4472,00:47:53,2.4 mi,00:02:06,04:51:25,112 mi,00:01:24,03:13:26,26.2 mi,08:56:14
Raul Tejada,10,10,10,34,PRO,27,GTM,GTM,---,4470,00:50:23,2.4 mi,00:02:23,04:53:33,112 mi,00:03:08,03:06:57,26.2 mi,08:56:24
Víctor Del Corral,11,11,11,3,PRO,36,---,ESP,---,4423,00:54:52,2.4 mi,00:02:11,04:48:12,112 mi,00:02:47,03:12:18,26.2 mi,09:00:20
Antonio Ferreira Da Silva Neto,12,1,12,622,35-39,37,SP,BRA,---,5000,00:45:44,2.4 mi,00:02:56,05:03:01,112 mi,00:01:26,03:07:44,26.2 mi,09:00:51
Ryan Giuliano,13,1,13,2178,30-34,31,IL,USA,---,5000,00:52:38,2.4 mi,00:02:55,05:03:28,112 mi,00:01:28,03:01:34,26.2 mi,09:02:03
Frederic Garcia,14,1,14,1788,25-29,26,---,FRA,---,5000,00:51:19,2.4 mi,00:02:38,05:05:07,112 mi,00:02:06,03:08:32,26.2 mi,09:09:42
Sebastian Bleisteiner,15,12,15,20,PRO,---,---,DEU,---,4303,00:50:29,2.4 mi,00:02:33,05:04:19,112 mi,00:02:13,03:10:43,26.2 mi,09:10:17
Andriy Lyatskiy,16,13,16,13,PRO,29,---,RUS,---,4288,00:45:29,2.4 mi,00:02:41,04:57:57,112 mi,00:02:03,03:23:22,26.2 mi,09:11:32
Georg Swoboda,17,14,17,33,PRO,38,---,AUT,---,4288,00:51:28,2.4 mi,00:03:03,04:43:45,112 mi,00:01:30,03:31:46,26.2 mi,09:11:32
Bonieck De Souza Clemente,18,2,18,1377,30-34,33,NY,BRA,---,4870,00:48:47,2.4 mi,00:03:30,05:06:54,112 mi,00:02:04,03:11:36,26.2 mi,09:12:51
Alejandro Torre,19,2,19,2173,35-39,38,TX,MEX,---,4848,00:47:51,2.4 mi,00:02:38,05:07:45,112 mi,00:01:41,03:13:36,26.2 mi,09:13:31
Nicola Spirig,1,1,20,53,PRO,34,CH,CHE,---,5000,00:47:12,2.4 mi,00:02:46,05:15:03,112 mi,00:02:47,03:06:19,26.2 mi,09:14:07
Michelle Vesterby,2,2,21,52,PRO,32,---,DNK,---,4959,00:49:08,2.4 mi,00:02:42,05:11:02,112 mi,00:01:30,03:13:08,26.2 mi,09:17:30
Allan Villanueva,20,15,22,37,PRO,38,DF,MEX,---,4208,00:50:29,2.4 mi,00:02:40,05:01:34,112 mi,00:01:27,03:22:05,26.2 mi,09:18:15
Greg Close,21,16,23,25,PRO,33,NY,USA,---,4192,00:53:08,2.4 mi,00:02:46,05:11:23,112 mi,00:01:27,03:10:48,26.2 mi,09:19:32
Alfredo Trujano,22,3,24,2230,35-39,38,---,MEX,---,4767,00:54:36,2.4 mi,00:02:36,05:06:24,112 mi,00:01:48,03:14:52,26.2 mi,09:20:16
Ramon Elias Hernandez,23,2,25,522,25-29,---,---,VEN,---,4852,00:49:21,2.4 mi,00:02:47,05:11:24,112 mi,00:02:19,03:16:11,26.2 mi,09:22:02
Gustavo Rodríguez,24,17,26,41,PRO,36,---,ESP,---,4146,00:50:34,2.4 mi,00:02:45,04:59:44,112 mi,00:07:23,03:23:00,26.2 mi,09:23:26
Kelly Williamson,3,3,27,51,PRO,38,CO,USA,---,4873,00:49:24,2.4 mi,00:02:54,05:33:53,112 mi,00:01:28,02:57:02,26.2 mi,09:24:41
Jose Graca,25,1,28,1675,40-44,41,sp,BRA,---,5000,00:52:03,2.4 mi,00:04:20,05:08:45,112 mi,00:03:10,03:23:15,26.2 mi,09:31:33
Scott Bradley,26,18,29,21,PRO,32,NY,USA,---,4016,01:00:04,2.4 mi,00:02:27,05:02:29,112 mi,00:01:23,03:27:50,26.2 mi,09:34:13
