name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Fernando Vargas Garibi,1,1,1,614,35-39,36,---,MEX,---,5000,01:01:12,2.4 mi,00:02:28,05:08:03,112 mi,00:01:59,03:11:24,26.2 mi,09:25:06
Edgar López Jiménez,2,2,2,434,35-39,36,Jalisco,MEX,---,4967,00:49:19,2.4 mi,00:02:58,04:58:31,112 mi,00:03:09,03:33:53,26.2 mi,09:27:50
Xavier Fanovard,3,3,3,928,35-39,36,---,FRA,---,4961,00:53:27,2.4 mi,00:03:10,05:05:54,112 mi,00:01:30,03:24:19,26.2 mi,09:28:20
Philipp Mock,4,1,4,363,25-29,28,---,DEU,---,5000,00:57:13,2.4 mi,00:02:41,04:51:20,112 mi,00:03:53,03:44:45,26.2 mi,09:39:52
Andrew Kline,5,2,5,716,25-29,28,---,USA,---,4937,00:55:58,2.4 mi,00:03:14,05:12:28,112 mi,00:02:33,03:30:53,26.2 mi,09:45:06
Derk De Korver,6,1,6,368,30-34,32,CA,NLD,---,5000,00:57:44,2.4 mi,00:02:13,05:12:57,112 mi,00:01:24,03:32:05,26.2 mi,09:46:23
Olivier Pourteyron,7,4,7,508,35-39,40,---,FRA,---,4598,00:57:44,2.4 mi,00:02:48,05:23:57,112 mi,00:03:03,03:31:04,26.2 mi,09:58:36
Timo Heine,8,1,8,86,40-44,41,---,DEU,---,5000,00:58:29,2.4 mi,00:05:25,05:17:02,112 mi,00:02:13,03:41:37,26.2 mi,10:04:46
Matt Mccune,9,2,9,836,30-34,35,OH,USA,---,4764,01:02:21,2.4 mi,00:03:49,05:11:21,112 mi,00:02:13,03:46:18,26.2 mi,10:06:02
Pat Redner,10,3,10,549,25-29,28,CA,USA,---,4671,00:57:15,2.4 mi,00:03:35,05:31:51,112 mi,00:01:53,03:32:42,26.2 mi,10:07:16
Bernhard Hradecky,11,5,11,496,35-39,37,---,AUT,---,4481,00:57:48,2.4 mi,00:04:22,05:17:18,112 mi,00:02:18,03:46:35,26.2 mi,10:08:21
Manueljose Conejeros,12,4,12,251,25-29,---,---,CHL,---,4597,00:56:32,2.4 mi,00:02:49,05:30:15,112 mi,00:03:11,03:40:39,26.2 mi,10:13:26
Guillermo Garcia,13,5,13,658,25-29,27,Rio Negro,ARG,---,4557,01:03:45,2.4 mi,00:02:18,05:34:27,112 mi,00:01:49,03:34:27,26.2 mi,10:16:46
Richard Blanco,14,1,14,586,45-49,48,CA,USA,---,5000,01:00:24,2.4 mi,00:03:18,05:20:33,112 mi,00:04:03,03:50:28,26.2 mi,10:18:46
Ignacio Lopez Mancisidor,15,3,15,538,30-34,31,FL,ESP,---,4598,00:58:44,2.4 mi,00:02:42,05:28:34,112 mi,00:02:47,03:47:02,26.2 mi,10:19:49
Ivan Lenz,16,2,16,207,40-44,44,---,CHE,---,4809,01:05:00,2.4 mi,00:04:43,05:38:34,112 mi,00:03:41,03:28:42,26.2 mi,10:20:40
Jürg Sigrist,17,6,17,654,35-39,37,CH,CHE,---,4268,00:59:31,2.4 mi,00:04:23,05:24:39,112 mi,00:02:57,03:54:34,26.2 mi,10:26:04
Federico Lopez Ramirez,18,3,18,710,40-44,41,---,MEX,---,4725,01:04:10,2.4 mi,00:04:08,05:36:29,112 mi,00:04:03,03:38:48,26.2 mi,10:27:38
Geoff Bamber,19,4,19,909,30-34,34,---,GBR,---,4472,01:09:45,2.4 mi,00:03:46,05:58:32,112 mi,00:02:11,03:16:09,26.2 mi,10:30:23
Juan Pablo Cano De Urquidi,20,6,20,639,25-29,28,Durango,MEX,---,4382,01:10:11,2.4 mi,00:02:36,05:24:27,112 mi,00:01:51,03:52:15,26.2 mi,10:31:20
Peter Russo,21,1,21,611,50-54,---,---,USA,---,5000,00:57:07,2.4 mi,00:03:52,05:15:37,112 mi,00:03:20,04:12:02,26.2 mi,10:31:58
Max Kalciyan,22,7,22,723,35-39,38,CAPITAL FEDERAL,ARM,---,4180,01:16:40,2.4 mi,00:05:11,05:30:30,112 mi,00:01:13,03:39:49,26.2 mi,10:33:23
Stephane Sauve,23,4,23,399,40-44,44,---,FRA,---,4643,01:05:22,2.4 mi,00:04:57,05:20:48,112 mi,00:03:13,04:00:07,26.2 mi,10:34:27
Tiago Lessa,24,8,24,291,35-39,37,Rio de Janeiro,BRA,---,4159,01:10:35,2.4 mi,00:03:25,05:21:30,112 mi,00:01:52,03:57:45,26.2 mi,10:35:07
Tim Lychy,25,2,25,576,50-54,50,ON,CAN,---,4945,01:08:25,2.4 mi,00:03:50,05:36:55,112 mi,00:02:36,03:44:43,26.2 mi,10:36:29
Brendan Winbrock,26,1,26,879,18-24,25,CA,USA,---,5000,01:03:35,2.4 mi,00:07:06,05:47:20,112 mi,00:06:44,03:36:15,26.2 mi,10:41:00
Andrew Hopper,27,2,27,584,45-49,47,---,CAN,---,4715,01:02:29,2.4 mi,00:04:11,05:41:06,112 mi,00:03:17,03:51:25,26.2 mi,10:42:28
Jose Rivera González,28,5,28,675,40-44,42,Nuevo León,MEX,---,4539,01:10:14,2.4 mi,00:06:54,05:47:59,112 mi,00:04:33,03:33:29,26.2 mi,10:43:09
