name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Bas Diederen,1,1,1,1,PRO,36,---,NLD,---,5000,00:46:22,3.9 km,00:03:02,04:43:33,180.2 km,00:02:22,02:51:59,42.2 km,08:27:18
Mark Oude Bennink,2,2,2,17,PRO,29,NL,NLD,---,4904,00:46:19,3.9 km,00:03:05,04:48:30,180.2 km,00:02:23,02:54:58,42.2 km,08:35:15
Alberto Casadei,4,3,4,23,PRO,30,Intl State,ITA,---,4870,00:46:20,3.9 km,00:03:01,04:51:50,180.2 km,00:02:19,02:54:34,42.2 km,08:38:04
Tim Brydenbach,5,4,5,6,PRO,32,Intl State,BEL,---,4840,00:46:24,3.9 km,00:03:01,04:51:46,180.2 km,00:02:05,02:57:22,42.2 km,08:40:38
Matic Modic,6,5,6,26,PRO,29,Intl State,SVN,---,4797,00:53:12,3.9 km,00:03:24,04:47:19,180.2 km,00:02:17,02:57:59,42.2 km,08:44:11
Cyril Viennot,7,6,7,2,PRO,34,---,FRA,---,4594,00:51:45,3.9 km,00:03:12,04:52:58,180.2 km,00:02:25,03:10:46,42.2 km,09:01:06
Xavier Torrades,8,7,8,20,PRO,33,---,ESP,---,4583,00:46:52,3.9 km,00:02:59,05:03:19,180.2 km,00:02:05,03:06:46,42.2 km,09:02:01
Remy Vasseur,9,8,9,22,PRO,35,Intl State,NLD,---,4580,00:53:15,3.9 km,00:03:07,05:01:01,180.2 km,00:02:23,03:02:32,42.2 km,09:02:18
Mike Schifferle,10,9,10,25,PRO,43,---,CHE,---,4559,00:58:28,3.9 km,00:04:50,04:54:46,180.2 km,00:03:51,03:02:08,42.2 km,09:04:03
Hannes Cool,11,10,11,8,PRO,30,BE,BEL,---,4550,00:51:43,3.9 km,00:03:30,04:58:06,180.2 km,00:02:35,03:08:50,42.2 km,09:04:44
Bart Borghs,12,1,12,333,30-34,30,Intl State,BEL,---,5000,00:59:46,3.9 km,00:04:13,05:02:30,180.2 km,00:02:28,02:58:22,42.2 km,09:07:19
Andriy Lyatskiy,13,11,13,13,PRO,29,---,RUS,---,4437,00:51:47,3.9 km,00:03:10,05:02:40,180.2 km,00:02:31,03:14:03,42.2 km,09:14:11
