name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Matthew J Bach,1,1,1,45,25-29,29,NJ,USA,---,5000,01:05:05,2.4 mi,00:02:02,04:41:46,112 mi,00:02:01,03:00:25,26.2 mi,08:51:19
Nathan Rickman,2,1,2,116,35-39,37,VA,USA,---,5000,01:09:04,2.4 mi,00:03:02,04:29:03,112 mi,00:01:57,03:13:15,26.2 mi,08:56:21
Rafael Chieza Fortes Garcia,3,1,3,186,30-34,36,RJ,BRA,---,5000,01:10:49,2.4 mi,00:03:44,04:48:03,112 mi,00:01:33,03:03:36,26.2 mi,09:07:45
Dan Szajta,4,2,4,99,25-29,28,VA,USA,---,4750,00:58:15,2.4 mi,00:02:19,04:48:15,112 mi,00:01:57,03:21:19,26.2 mi,09:12:05
David Sajner,5,2,5,52,30-34,35,Prague,CZE,---,4946,01:10:15,2.4 mi,00:02:10,04:36:20,112 mi,00:02:04,03:21:26,26.2 mi,09:12:15
Christopher Stock,6,3,6,53,30-34,35,VA,USA,---,4945,01:12:14,2.4 mi,00:02:40,04:44:43,112 mi,00:02:43,03:09:56,26.2 mi,09:12:16
Nathan Miller,7,4,7,823,30-34,35,VA,USA,---,4938,01:07:08,2.4 mi,00:03:29,04:38:05,112 mi,00:01:55,03:22:15,26.2 mi,09:12:52
Bill Bishop,8,2,8,875,35-39,38,IL,USA,---,4764,00:50:05,2.4 mi,00:02:16,04:44:11,112 mi,00:02:07,03:37:21,26.2 mi,09:16:00
Rodrigo Bodanese,9,3,9,96,25-29,28,RS,BRA,---,4697,01:06:38,2.4 mi,00:03:36,04:38:36,112 mi,00:01:53,03:25:50,26.2 mi,09:16:33
Joe Rizzi,10,1,10,1731,40-44,46,ON,CAN,---,5000,01:05:11,2.4 mi,00:03:23,04:40:00,112 mi,00:01:55,03:27:31,26.2 mi,09:18:00
Nigel Morgan,11,2,11,59,40-44,43,NC,USA,---,4995,01:05:25,2.4 mi,00:02:47,04:40:52,112 mi,00:02:59,03:26:18,26.2 mi,09:18:21
James Schriel,12,3,12,1712,35-39,40,---,CAN,---,4725,01:11:20,2.4 mi,00:03:41,04:48:56,112 mi,00:02:54,03:12:22,26.2 mi,09:19:13
Pierre Heynemand,13,1,13,64,45-49,49,QC,CAN,---,5000,01:01:00,2.4 mi,00:02:17,04:45:33,112 mi,00:01:59,03:28:27,26.2 mi,09:19:16
Graham Brodock,14,5,14,48,30-34,33,NY,USA,---,4856,01:13:03,2.4 mi,00:02:56,04:56:02,112 mi,00:02:29,03:05:11,26.2 mi,09:19:41
Mateo Mercur,15,3,15,1133,40-44,43,CA,USA,---,4965,01:00:27,2.4 mi,00:03:17,04:53:40,112 mi,00:03:53,03:19:35,26.2 mi,09:20:52
John Hessian,16,4,16,1096,40-44,46,---,USA,---,4932,01:11:26,2.4 mi,00:03:14,04:45:03,112 mi,00:02:48,03:21:07,26.2 mi,09:23:38
Cort Cramer,17,4,17,893,35-39,39,MA,USA,---,4661,01:12:06,2.4 mi,00:02:52,04:44:23,112 mi,00:01:59,03:23:14,26.2 mi,09:24:34
Pedro Alejandro Leon,18,2,18,143,45-49,47,San Juan,ARG,---,4927,01:08:50,2.4 mi,00:02:34,04:37:17,112 mi,00:02:04,03:34:35,26.2 mi,09:25:20
Lauren Capone,1,1,19,275,25-29,27,CA,USA,---,5000,01:00:27,2.4 mi,00:05:39,05:03:15,112 mi,00:02:13,03:14:28,26.2 mi,09:26:02
Michael Hoffman,19,4,20,46,25-29,29,MA,USA,---,4581,00:58:46,2.4 mi,00:02:58,05:03:08,112 mi,00:02:23,03:18:57,26.2 mi,09:26:12
Mark Ryan,20,3,21,67,45-49,50,CO,USA,---,4901,01:07:50,2.4 mi,00:02:37,04:56:27,112 mi,00:02:18,03:18:19,26.2 mi,09:27:31
Wylie Belasik,21,6,22,47,30-34,32,CO,USA,---,4759,01:15:43,2.4 mi,00:03:49,04:51:30,112 mi,00:02:12,03:14:32,26.2 mi,09:27:46
Brice Williams,22,5,23,1007,35-39,40,UT,USA,---,4622,01:01:58,2.4 mi,00:03:23,04:58:12,112 mi,00:01:56,03:22:21,26.2 mi,09:27:50
Shawn Young,23,5,24,133,40-44,42,MD,USA,---,4863,01:11:26,2.4 mi,00:03:26,04:56:36,112 mi,00:02:07,03:15:50,26.2 mi,09:29:25
Ben Graham,24,6,25,198,35-39,40,---,USA,---,4557,01:10:05,2.4 mi,00:02:47,04:51:54,112 mi,00:02:46,03:25:44,26.2 mi,09:33:16
Justin Jacobs,25,7,26,189,30-34,33,FL,USA,---,4674,01:14:04,2.4 mi,00:03:14,05:14:02,112 mi,00:03:24,03:00:09,26.2 mi,09:34:53
