name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Domenico Passuello,---,1,1,13,PRO,38,Intl State,ITA,---,5000,00:52:25,3.9 km,00:02:54,04:32:16,180.2 km,00:02:27,02:55:52,42.2 km,08:25:54
Fredrik Croneborg,---,2,2,2,PRO,35,---,SWE,---,4967,00:50:35,3.9 km,00:03:00,04:42:57,180.2 km,00:02:17,02:49:48,42.2 km,08:28:37
Patrick Jaberg,---,3,3,5,PRO,36,---,USA,---,4819,00:55:41,3.9 km,00:03:16,04:42:27,180.2 km,00:02:28,02:57:06,42.2 km,08:40:58
Cameron Brown,---,4,4,1,PRO,44,NZ,NZL,---,4792,00:50:56,3.9 km,00:02:59,04:42:29,180.2 km,00:02:27,03:04:22,42.2 km,08:43:13
Patrick Jaberg,---,5,5,11,PRO,36,---,CHE,---,4773,00:52:21,3.9 km,00:03:08,04:40:53,180.2 km,00:02:37,03:05:47,42.2 km,08:44:46
Nick Baldwin,---,6,6,4,PRO,28,Seychelles,SYC,---,4759,00:52:24,3.9 km,00:03:22,04:53:01,180.2 km,00:02:40,02:54:32,42.2 km,08:45:59
Mauro Baertsch,---,7,7,6,PRO,30,---,CHE,---,4752,00:52:41,3.9 km,00:03:25,04:47:51,180.2 km,00:03:18,02:59:18,42.2 km,08:46:33
Karol Džalaj,---,8,8,3,PRO,35,Intl State,SVK,---,4750,00:52:13,3.9 km,00:03:51,04:45:35,180.2 km,00:03:49,03:01:12,42.2 km,08:46:40
Mike Schifferle,---,9,9,14,PRO,43,---,CHE,---,4702,00:58:23,3.9 km,00:04:36,04:37:51,180.2 km,00:05:41,03:04:12,42.2 km,08:50:43
Samuel Huerzeler,---,10,10,10,PRO,32,---,CHE,---,4585,00:52:05,3.9 km,00:04:00,04:56:15,180.2 km,00:02:53,03:05:16,42.2 km,09:00:29
Guillaume Lecallier,---,1,11,279,25-29,26,FR,FRA,---,5000,00:57:19,3.9 km,00:03:20,05:02:16,180.2 km,00:03:15,03:10:08,42.2 km,09:16:18
Dede Griesbauer,---,1,12,25,PRO,45,CO,USA,---,5000,00:51:10,3.9 km,00:03:38,05:05:19,180.2 km,00:03:00,03:17:16,42.2 km,09:20:23
Deak Zsombor,---,11,13,17,PRO,27,Covasna,ROU,---,4319,00:58:18,3.9 km,00:03:31,05:03:50,180.2 km,00:02:39,03:14:21,42.2 km,09:22:39
Dimity-Lee Duke,---,2,14,23,PRO,32,WA,AUS,---,4866,00:58:08,3.9 km,00:04:15,05:16:14,180.2 km,00:02:37,03:10:17,42.2 km,09:31:31
Henrik Oftedal,---,12,15,12,PRO,40,---,NOR,---,4211,00:57:53,3.9 km,00:03:29,05:01:04,180.2 km,00:03:09,03:26:00,42.2 km,09:31:35
Kim Schwabenbauer,---,3,16,21,PRO,37,PA,USA,---,4781,01:00:08,3.9 km,00:04:01,05:15:41,180.2 km,00:02:52,03:15:53,42.2 km,09:38:35
Olivier Spagnol,---,1,17,889,45-49,47,FR,FRA,---,5000,01:04:23,3.9 km,00:05:07,05:10:32,180.2 km,00:05:09,03:14:58,42.2 km,09:40:09
Nobuo Kitazato,---,1,18,972,50-54,51,Fukuoka-ken,JPN,---,5000,00:55:12,3.9 km,00:05:07,05:33:48,180.2 km,00:03:00,03:06:05,42.2 km,09:43:12
Yoshitaka Imamura,---,1,19,330,30-34,35,Kanagawa,JPN,---,5000,00:54:17,3.9 km,00:04:12,05:32:56,180.2 km,00:03:08,03:09:46,42.2 km,09:44:19
Sam Sakai,---,2,20,926,45-49,47,Gunma,JPN,---,4917,01:05:07,3.9 km,00:05:25,05:16:52,180.2 km,00:03:42,03:15:55,42.2 km,09:47:01
Chih-Yuan Wang,---,1,21,531,35-39,35,---,TWN,---,5000,01:01:59,3.9 km,00:04:03,05:22:14,180.2 km,00:03:17,03:17:20,42.2 km,09:48:53
Shiao-Yu Li,---,4,22,26,PRO,39,---,TWN,---,4634,01:07:10,3.9 km,00:03:50,05:22:36,180.2 km,00:02:19,03:14:57,42.2 km,09:50:52
Noriyuki Akiba,---,1,23,629,40-44,45,---,JPN,---,5000,00:55:45,3.9 km,00:05:58,05:23:37,180.2 km,00:03:27,03:24:34,42.2 km,09:53:21
Keiko Tanaka,---,5,24,24,PRO,31,Intl State,JPN,---,4576,00:54:39,3.9 km,00:03:33,05:21:01,180.2 km,00:02:23,03:34:05,42.2 km,09:55:41
Nikolai Jenkins,---,2,25,326,30-34,34,MD,USA,---,4849,01:07:38,3.9 km,00:04:08,05:14:06,180.2 km,00:02:36,03:28:25,42.2 km,09:56:53
Eva Potuckova,---,6,26,32,PRO,38,---,CZE,---,4551,00:51:18,3.9 km,00:03:13,05:27:31,180.2 km,00:03:03,03:32:42,42.2 km,09:57:47
Peter Wolkowicz,---,3,27,398,30-34,31,DE,DEU,---,4832,00:55:31,3.9 km,00:04:38,05:16:23,180.2 km,00:03:38,03:38:08,42.2 km,09:58:18
Darren Cole,---,2,28,632,40-44,41,---,CAN,---,4871,00:53:21,3.9 km,00:05:29,05:23:46,180.2 km,00:03:36,03:37:52,42.2 km,10:04:04
Jarand Fjeld,---,3,29,658,40-44,41,Indonesia,NOR,---,4826,01:08:10,3.9 km,00:04:56,04:59:02,180.2 km,00:03:16,03:52:25,42.2 km,10:07:49
Vince Middleton,---,4,30,741,40-44,45,WA,AUS,---,4813,00:55:34,3.9 km,00:04:48,05:23:24,180.2 km,00:03:48,03:41:20,42.2 km,10:08:54
Shinichiro Arai,---,3,31,824,45-49,49,Tokyo,JPN,---,4647,00:57:35,3.9 km,00:05:10,05:21:25,180.2 km,00:03:13,03:42:07,42.2 km,10:09:30
Chun Kit Tsang,---,4,32,368,30-34,32,---,HKG,---,4661,01:03:10,3.9 km,00:04:31,05:37:04,180.2 km,00:03:36,03:24:11,42.2 km,10:12:32
Rod De Kanel,---,13,33,8,PRO,35,---,FRA,---,3717,00:50:35,3.9 km,00:03:33,05:06:02,180.2 km,00:05:15,04:07:20,42.2 km,10:12:45
Tom Wei,---,5,34,380,30-34,---,---,TWN,---,4654,00:55:58,3.9 km,00:04:59,05:25:37,180.2 km,00:02:51,03:43:44,42.2 km,10:13:09
Nicholas Muxlow,---,6,35,379,30-34,31,SA,AUS,---,4645,00:53:30,3.9 km,00:04:29,05:38:14,180.2 km,00:03:03,03:34:37,42.2 km,10:13:53
Yueh-Kang Lin,---,2,36,533,35-39,40,TW,TWN,---,4660,01:04:23,3.9 km,00:05:44,05:33:11,180.2 km,00:04:27,03:29:24,42.2 km,10:17:09
Mitsuya Yahata,---,7,37,329,30-34,33,---,JPN,---,4597,01:02:43,3.9 km,00:05:41,05:20:11,180.2 km,00:04:42,03:44:37,42.2 km,10:17:54
Alena Stevens,---,7,38,33,PRO,33,Slovakia,SVK,---,4308,01:01:01,3.9 km,00:04:11,05:31:40,180.2 km,00:02:46,03:38:23,42.2 km,10:18:01
Christopher Dambrosia,---,2,39,281,25-29,29,NY,TWN,---,4242,00:55:20,3.9 km,00:08:00,05:47:19,180.2 km,00:04:00,03:24:46,42.2 km,10:19:25
Angus Wippell,---,4,40,915,45-49,49,---,AUS,---,4515,00:55:40,3.9 km,00:05:23,05:26:40,180.2 km,00:02:39,03:50:09,42.2 km,10:20:31
Angela Kühnlein,---,8,41,29,PRO,31,---,DEU,---,4267,01:01:03,3.9 km,00:03:27,05:30:53,180.2 km,00:03:13,03:42:52,42.2 km,10:21:28
Masaki Suzuka,---,5,42,868,45-49,45,---,JPN,---,4491,00:59:42,3.9 km,00:06:23,05:40:22,180.2 km,00:05:12,03:30:51,42.2 km,10:22:30
Lyndsay Fraser,---,1,43,106,25-29,30,phuket,GBR,---,5000,01:01:46,3.9 km,00:05:09,05:40:18,180.2 km,00:04:44,03:31:07,42.2 km,10:23:04
Chino Nishimura,---,2,44,108,25-29,26,Saitama,JPN,---,4988,00:54:52,3.9 km,00:03:32,05:37:09,180.2 km,00:02:30,03:45:57,42.2 km,10:24:00
Maki Nishiuchi,---,9,45,31,PRO,41,Intl State,JPN,---,4227,00:54:38,3.9 km,00:03:21,05:39:58,180.2 km,00:03:53,03:42:54,42.2 km,10:24:44
Federico Procopio,---,6,46,854,45-49,45,roma,ITA,---,4464,00:58:53,3.9 km,00:05:21,05:40:01,180.2 km,00:04:01,03:36:30,42.2 km,10:24:46
Yasushi Noguchi,---,7,47,865,45-49,46,---,JPN,---,4392,01:03:26,3.9 km,00:04:42,05:10:07,180.2 km,00:03:12,04:09:18,42.2 km,10:30:45
Akihiro Kobayashi,---,3,48,287,25-29,29,Intl State,JPN,---,4097,01:08:59,3.9 km,00:06:00,05:47:35,180.2 km,00:04:56,03:24:00,42.2 km,10:31:30
Christian Henn,---,3,49,504,35-39,---,DXB,DEU,---,4486,00:57:34,3.9 km,00:04:50,05:15:29,180.2 km,00:02:54,04:10:53,42.2 km,10:31:40
Yi Jue Hsu,---,8,50,382,30-34,---,---,TWN,---,4427,01:19:40,3.9 km,00:06:51,05:30:29,180.2 km,00:04:47,03:30:17,42.2 km,10:32:04
SU YUN,---,5,51,746,40-44,43,---,CHN,---,4532,01:14:06,3.9 km,00:09:15,05:11:39,180.2 km,00:03:48,03:53:29,42.2 km,10:32:17
Frederic Severino,---,6,52,707,40-44,45,FR,FRA,---,4531,00:59:58,3.9 km,00:05:01,05:26:53,180.2 km,00:04:45,03:55:46,42.2 km,10:32:23
Zhi Yong Chen,---,7,53,723,40-44,---,---,TWN,---,4524,01:09:18,3.9 km,00:05:34,05:36:45,180.2 km,00:02:58,03:38:23,42.2 km,10:32:58
Kunihiro Imai,---,1,54,1040,55-59,55,---,JPN,---,5000,01:24:08,3.9 km,00:09:16,05:28:24,180.2 km,00:05:21,03:26:37,42.2 km,10:33:46
Dan Brown,---,14,55,7,PRO,40,NSW,AUS,---,3454,01:02:00,3.9 km,00:03:17,05:26:48,180.2 km,00:03:32,03:59:06,42.2 km,10:34:43
Bo Lee,---,8,56,764,40-44,---,---,CHE,---,4498,01:07:28,3.9 km,00:04:31,05:42:17,180.2 km,00:02:48,03:38:06,42.2 km,10:35:10
Todd Gilmore,---,9,57,667,40-44,45,Ho Chi Minh City,CAN,---,4497,01:01:18,3.9 km,00:05:26,05:39:06,180.2 km,00:03:56,03:45:28,42.2 km,10:35:14
Ken Smith,---,2,58,1056,55-59,56,---,CHE,---,4968,01:03:46,3.9 km,00:08:37,05:45:47,180.2 km,00:06:48,03:31:25,42.2 km,10:36:23
Wong Siu Yuen,---,10,59,708,40-44,---,"Tuen Mun, NT",HKG,---,4472,01:14:45,3.9 km,00:05:15,05:51:26,180.2 km,00:02:44,03:23:11,42.2 km,10:37:21
Iwabuchi Takashi,---,4,60,260,25-29,28,Tokyo,JPN,---,4016,01:00:34,3.9 km,00:03:56,05:17:03,180.2 km,00:03:10,04:13:34,42.2 km,10:38:17
Ching-Hsiang Chang,---,9,61,361,30-34,33,TW,TWN,---,4314,01:02:35,3.9 km,00:03:39,05:41:27,180.2 km,00:03:02,03:50:46,42.2 km,10:41:29
Shu Yu Hu,---,10,62,378,30-34,---,---,TWN,---,4309,01:10:27,3.9 km,00:07:22,05:33:24,180.2 km,00:03:45,03:46:54,42.2 km,10:41:52
Shu Wei Guo,---,11,63,433,30-34,---,---,TWN,---,4306,01:13:47,3.9 km,00:08:18,05:41:52,180.2 km,00:03:59,03:34:10,42.2 km,10:42:06
Kate Rutherford,---,1,64,164,40-44,43,---,HKG,---,5000,00:55:52,3.9 km,00:04:27,05:40:12,180.2 km,00:02:46,03:59:09,42.2 km,10:42:26
? ??,---,11,65,665,40-44,42,東京都,JPN,---,4393,01:11:43,3.9 km,00:08:28,05:30:32,180.2 km,00:05:13,03:47:56,42.2 km,10:43:52
Laurent Garcia,---,12,66,327,30-34,31,---,FRA,---,4276,01:10:40,3.9 km,00:06:08,05:07:28,180.2 km,00:03:02,04:17:17,42.2 km,10:44:35
Chin Tsai Lin,---,8,67,881,45-49,---,---,TWN,---,4198,01:13:20,3.9 km,00:05:55,05:47:15,180.2 km,00:08:21,03:32:06,42.2 km,10:46:57
Xue Yao Wang,---,12,68,703,40-44,---,---,TWN,---,4355,01:25:02,3.9 km,00:04:24,05:37:39,180.2 km,00:03:35,03:36:24,42.2 km,10:47:04
Thoma Bouvier,---,13,69,761,40-44,---,---,FRA,---,4344,01:09:49,3.9 km,00:06:10,05:39:39,180.2 km,00:05:25,03:46:55,42.2 km,10:47:58
Da Jie Cheng,---,4,70,580,35-39,38,Shanghai,CHN,---,4287,01:03:19,3.9 km,00:04:52,05:40:42,180.2 km,00:04:16,03:55:07,42.2 km,10:48:16
Steffi Steinberg,---,1,71,130,30-34,35,DE,DEU,---,5000,01:07:21,3.9 km,00:05:13,05:46:21,180.2 km,00:03:08,03:46:40,42.2 km,10:48:43
Hai Tao Sun,---,5,72,450,35-39,38,---,CHN,---,4280,01:22:49,3.9 km,00:05:48,05:24:29,180.2 km,00:04:42,03:51:04,42.2 km,10:48:52
Clare Webber,---,1,73,147,35-39,39,---,AUS,---,5000,00:59:20,3.9 km,00:05:46,05:39:56,180.2 km,00:06:03,03:57:57,42.2 km,10:49:02
Nori Ko,---,13,74,397,30-34,33,---,JPN,---,4220,00:59:37,3.9 km,00:06:05,05:58:27,180.2 km,00:03:40,03:41:26,42.2 km,10:49:15
Eric Anderson,---,5,75,268,25-29,26,IN,USA,---,3862,01:10:05,3.9 km,00:07:18,05:42:16,180.2 km,00:05:20,03:46:08,42.2 km,10:51:07
Sota Hara,---,14,76,688,40-44,41,東京都,JPN,---,4302,01:06:16,3.9 km,00:07:11,05:57:09,180.2 km,00:05:09,03:35:44,42.2 km,10:51:29
Xiu Sen Guo,---,1,77,244,18-24,---,---,TWN,---,5000,00:51:41,3.9 km,00:06:41,05:44:54,180.2 km,00:05:25,04:02:59,42.2 km,10:51:40
John Pesci,---,15,78,653,40-44,45,---,HKG,---,4292,01:00:10,3.9 km,00:04:07,05:35:07,180.2 km,00:03:07,04:09:50,42.2 km,10:52:21
Yasuo Shinozuka,---,9,79,830,45-49,50,Ibaraki,JPN,---,4105,01:01:22,3.9 km,00:05:51,05:31:43,180.2 km,00:04:27,04:11:20,42.2 km,10:54:43
Satoshi Maruta,---,14,80,306,30-34,34,Kanagawa,JPN,---,4146,01:14:00,3.9 km,00:05:03,05:46:20,180.2 km,00:03:12,03:46:50,42.2 km,10:55:25
Lee Mcmeekin,---,16,81,727,40-44,44,KENT,GBR,---,4251,01:16:58,3.9 km,00:05:09,05:34:32,180.2 km,00:02:47,03:56:16,42.2 km,10:55:42
Mike Grimm,---,3,82,1055,55-59,56,CA,USA,---,4724,00:55:51,3.9 km,00:04:55,05:38:28,180.2 km,00:03:24,04:14:05,42.2 km,10:56:43
Randall Evans,---,6,83,475,35-39,39,VIC,AUS,---,4181,01:09:09,3.9 km,00:05:59,05:31:47,180.2 km,00:04:15,04:05:54,42.2 km,10:57:04
Hideki Toyokawa,---,10,84,869,45-49,48,Kanagawa,JPN,---,4073,01:09:25,3.9 km,00:04:52,05:48:22,180.2 km,00:03:57,03:50:47,42.2 km,10:57:23
Koji Furuya,---,17,85,709,40-44,41,---,JPN,---,4225,01:00:06,3.9 km,00:04:54,05:37:25,180.2 km,00:03:39,04:11:49,42.2 km,10:57:53
Kumiko Nakazawa,---,2,86,138,35-39,38,東京都,JPN,---,4880,01:08:57,3.9 km,00:06:52,05:59:58,180.2 km,00:03:33,03:39:42,42.2 km,10:59:02
Li-Yao Chiang,---,15,87,365,30-34,31,TW,TWN,---,4080,01:12:18,3.9 km,00:06:04,05:25:44,180.2 km,00:04:21,04:12:28,42.2 km,11:00:55
Hao Zeng Wang,---,16,88,353,30-34,---,---,TWN,---,4072,01:04:18,3.9 km,00:05:53,05:56:23,180.2 km,00:04:02,03:51:03,42.2 km,11:01:39
Keita Takahashi,---,7,89,503,35-39,36,---,JPN,---,4083,01:00:47,3.9 km,00:04:53,05:47:05,180.2 km,00:03:12,04:09:18,42.2 km,11:05:15
Tseng Hsin-Yu,---,2,90,238,18-24,---,---,TWN,---,4813,01:10:26,3.9 km,00:07:09,05:46:05,180.2 km,00:04:11,03:59:24,42.2 km,11:07:15
Joshua Li,---,6,91,250,25-29,29,---,SGP,---,3661,01:08:14,3.9 km,00:05:24,06:00:24,180.2 km,00:03:13,03:50:34,42.2 km,11:07:49
Junya Nakadate,---,17,92,336,30-34,30,İstanbul,JPN,---,3961,01:00:52,3.9 km,00:07:30,05:51:51,180.2 km,00:04:54,04:05:45,42.2 km,11:10:52
Tomoji Maru,---,4,93,1046,55-59,60,Tokyo,JPN,---,4546,01:01:42,3.9 km,00:06:52,06:03:31,180.2 km,00:05:13,03:54:14,42.2 km,11:11:32
Ji Yuan Hong,---,8,94,592,35-39,---,---,TWN,---,4005,01:27:20,3.9 km,00:12:01,05:48:13,180.2 km,00:09:16,03:34:58,42.2 km,11:11:48
Hirotaka Souma,---,18,95,657,40-44,43,---,JPN,---,4041,00:50:27,3.9 km,00:04:23,06:02:52,180.2 km,00:03:07,04:12:27,42.2 km,11:13:16
Jose Merdino Lim,---,9,96,453,35-39,36,Cebu,PHL,---,3967,01:13:54,3.9 km,00:05:57,05:52:51,180.2 km,00:04:30,03:57:44,42.2 km,11:14:56
We Kyung Sun,---,2,97,1116,50-54,52,---,KOR,---,3896,01:00:07,3.9 km,00:03:09,05:58:22,180.2 km,00:05:09,04:08:23,42.2 km,11:15:10
Marco Scotti,---,19,98,725,40-44,41,CH,ITA,---,4009,01:17:25,3.9 km,00:08:42,05:45:58,180.2 km,00:06:28,03:57:20,42.2 km,11:15:53
Etsuko Nishiguchi,---,1,99,201,45-49,48,ACT,JPN,---,5000,01:07:46,3.9 km,00:06:26,05:58:39,180.2 km,00:05:50,03:58:11,42.2 km,11:16:52
Ryuichi Kawashima,---,3,100,981,50-54,52,chiba,JPN,---,3866,01:02:16,3.9 km,00:05:24,05:29:29,180.2 km,00:04:28,04:36:03,42.2 km,11:17:40
Han Lin Hsieh,---,7,101,275,25-29,---,---,TWN,---,3532,00:55:39,3.9 km,00:05:25,05:33:03,180.2 km,00:05:45,04:38:43,42.2 km,11:18:35
Nicky Simpson,---,18,102,308,30-34,34,---,GBR,---,3861,01:04:33,3.9 km,00:07:12,05:57:49,180.2 km,00:06:28,04:03:08,42.2 km,11:19:10
Josef Svoboda,---,15,103,16,PRO,39,Intl State,CZE,---,2905,01:14:27,3.9 km,00:05:58,05:39:00,180.2 km,00:02:35,04:18:25,42.2 km,11:20:25
Hao Yun Kuo,---,10,104,611,35-39,39,TW,TWN,---,3891,01:13:48,3.9 km,00:07:44,05:43:57,180.2 km,00:08:28,04:07:21,42.2 km,11:21:18
Yi Jun Chui,---,20,105,781,40-44,---,---,TWN,---,3936,01:25:38,3.9 km,00:06:07,05:45:32,180.2 km,00:04:34,04:00:06,42.2 km,11:21:57
Jeroen Nieuwkoop,---,21,106,682,40-44,45,---,NLD,---,3917,01:03:53,3.9 km,00:06:12,05:51:32,180.2 km,00:04:11,04:17:45,42.2 km,11:23:33
Katsuhisa Suzuki,---,4,107,992,50-54,54,東京都,JPN,---,3791,00:58:40,3.9 km,00:05:01,05:53:43,180.2 km,00:04:12,04:22:20,42.2 km,11:23:56
Bingning Ding,---,11,108,455,35-39,38,宁夏,CHN,---,3855,01:25:46,3.9 km,00:08:52,05:30:55,180.2 km,00:04:55,04:13:50,42.2 km,11:24:18
Giuseppe Musella,---,5,109,969,50-54,53,PR,BRA,---,3780,01:00:54,3.9 km,00:07:57,05:53:17,180.2 km,00:07:00,04:15:44,42.2 km,11:24:52
Yajima Nobuhiro,---,6,110,967,50-54,54,tokyo,JPN,---,3762,01:06:50,3.9 km,00:08:02,05:57:23,180.2 km,00:05:33,04:08:30,42.2 km,11:26:18
Guo Zhang Feng,---,22,111,782,40-44,---,---,TWN,---,3878,01:29:31,3.9 km,00:07:07,06:03:17,180.2 km,00:06:54,03:40:01,42.2 km,11:26:50
