name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Benton  Abbott ,---,416,---,871,35-39,40,---,GBR,---,---,00:59:40,3.9 km,00:06:25,06:39:28,180.2 km,00:05:59,04:13:40,42.2 km,12:05:14
Darren Abbs,---,907,---,850,30-34,37,---,GBR,---,---,01:20:08,3.9 km,00:10:02,07:41:38,180.2 km,00:10:33,05:08:27,42.2 km,14:30:52
Robert Acaster,---,373,---,237,40-44,48,---,GBR,---,---,01:07:48,3.9 km,00:06:02,06:12:23,180.2 km,00:03:17,04:25:02,42.2 km,11:54:34
Andrea Adams,---,---,DNS,1019,30-34,39,---,GBR,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Nick Adams,---,793,---,712,25-29,31,---,GBR,---,---,01:06:29,3.9 km,00:06:16,07:25:59,180.2 km,00:12:18,04:52:30,42.2 km,13:43:33
Peter Adams,---,283,---,819,35-39,43,cheshire,GBR,---,---,01:06:24,3.9 km,00:06:03,06:44:38,180.2 km,00:04:33,03:33:20,42.2 km,11:34:59
Peter Adams,---,902,---,894,35-39,40,---,GBR,---,---,01:17:35,3.9 km,00:09:57,07:47:59,180.2 km,00:09:16,05:02:35,42.2 km,14:27:23
Will Adams,---,834,---,543,45-49,52,---,GBR,---,---,01:14:30,3.9 km,00:08:54,07:18:41,180.2 km,00:15:14,05:01:10,42.2 km,13:58:31
Desmond Adkinson,---,204,---,1070,45-49,50,---,GBR,---,---,01:03:10,3.9 km,00:03:32,06:13:13,180.2 km,00:02:47,03:50:11,42.2 km,11:12:56
Francois Aguerre,---,620,---,939,35-39,41,---,GBR,---,---,01:17:57,3.9 km,00:13:55,07:10:54,180.2 km,00:18:23,03:56:18,42.2 km,12:57:29
Gurdeep Ahdhi,---,---,DNS,227,30-34,39,---,GBR,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Martin Aimson,---,511,---,377,40-44,45,---,GBR,---,---,01:21:53,3.9 km,00:13:44,06:55:37,180.2 km,00:13:37,03:47:01,42.2 km,12:31:54
Ian Ainsworth,---,747,---,65,45-49,53,---,GBR,---,---,01:06:57,3.9 km,00:19:41,07:01:50,180.2 km,00:13:07,04:47:37,42.2 km,13:29:14
Jérôme Alain,---,175,---,816,35-39,42,---,FRA,---,---,01:06:36,3.9 km,00:06:47,06:25:34,180.2 km,00:06:11,03:18:59,42.2 km,11:04:09
Karl Alexander,---,38,---,968,30-34,37,---,GBR,---,---,00:52:28,3.9 km,00:03:33,05:39:08,180.2 km,00:01:51,03:13:51,42.2 km,09:50:52
Paul Alexander,---,284,---,84,45-49,50,---,GBR,---,---,01:22:55,3.9 km,00:06:34,06:30:52,180.2 km,00:05:31,03:29:17,42.2 km,11:35:10
Andrew Allday,---,103,---,704,25-29,31,---,GBR,---,---,01:11:44,3.9 km,00:06:13,06:01:07,180.2 km,00:03:08,03:11:36,42.2 km,10:33:49
Mark Allen,---,---,DNF,1262,40-44,44,---,GBR,---,---,01:10:33,3.9 km,00:08:41,08:41:47,180.2 km,00:08:39,---,42.2 km,DNF
Mark Allen,---,---,DNS,1271,30-34,37,---,GBR,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Nathan Allen,---,74,---,674,30-34,39,South Glamorgan,GBR,---,---,01:01:31,3.9 km,00:04:20,05:43:06,180.2 km,00:03:05,03:25:41,42.2 km,10:17:45
Justin Allitt,---,---,DNS,535,35-39,43,---,GBR,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Philip Allman,---,712,---,835,35-39,43,---,GBR,---,---,01:08:58,3.9 km,00:07:35,06:52:55,180.2 km,00:09:05,05:00:29,42.2 km,13:19:03
Aimon Allouache,---,---,DNS,680,18-24,24,TX,USA,---,---,---,3.9 km,---,---,180.2 km,---,---,42.2 km,DNS
Jonathan Alvis,---,146,---,126,25-29,32,---,GBR,---,---,01:11:47,3.9 km,00:06:23,06:07:29,180.2 km,00:03:46,03:22:43,42.2 km,10:52:09
Jake Amos,---,241,---,279,30-34,38,---,GBR,---,---,01:06:24,3.9 km,00:05:29,06:36:22,180.2 km,00:05:21,03:31:22,42.2 km,11:25:00
Brian Anderson,---,246,---,509,45-49,52,---,GBR,---,---,01:12:11,3.9 km,00:05:38,05:56:40,180.2 km,00:04:31,04:06:55,42.2 km,11:25:57
Dave Anderson,---,516,---,161,40-44,46,---,GBR,---,---,01:25:51,3.9 km,00:09:30,06:59:58,180.2 km,00:09:29,03:47:39,42.2 km,12:32:28
Duncan Anderson,---,32,---,1162,30-34,38,Lancashire,GBR,---,---,00:55:28,3.9 km,00:03:39,05:37:06,180.2 km,00:02:26,03:07:15,42.2 km,09:45:56
Carl Anstey,---,633,---,1278,25-29,31,---,GBR,---,---,---,3.9 km,---,---,180.2 km,09:51:16,03:08:55,42.2 km,13:00:12
James Argyle,---,938,---,180,35-39,41,---,GBR,---,---,01:17:06,3.9 km,00:10:56,07:32:43,180.2 km,00:13:08,05:33:18,42.2 km,14:47:13
Matthew Armitt,---,917,---,689,18-24,29,VA,GBR,---,---,01:19:58,3.9 km,00:08:30,07:12:49,180.2 km,00:07:58,05:48:28,42.2 km,14:37:44
Alexander Armstrong,---,883,---,1163,25-29,30,---,GBR,---,---,01:04:58,3.9 km,00:09:44,06:54:22,180.2 km,00:17:00,05:51:12,42.2 km,14:17:19
David Arnold,---,812,---,334,35-39,45,---,GBR,---,---,01:17:48,3.9 km,00:13:35,08:08:45,180.2 km,00:07:32,04:02:12,42.2 km,13:49:54
Christopher Ashford,---,80,---,42,18-24,27,somerset,GBR,---,---,00:57:39,3.9 km,00:05:26,05:45:50,180.2 km,00:02:12,03:29:22,42.2 km,10:20:30
Matthew Ashman,---,190,---,684,25-29,33,---,GBR,---,---,00:54:30,3.9 km,00:04:08,06:17:08,180.2 km,00:02:42,03:50:10,42.2 km,11:08:39
Richard Ashton,---,333,---,410,25-29,32,---,GBR,---,---,01:03:32,3.9 km,00:06:15,06:54:27,180.2 km,00:05:33,03:37:12,42.2 km,11:47:00
Christian Ashurst,---,---,DNF,1274,30-34,38,---,GBR,---,---,---,3.9 km,01:16:34,06:56:33,180.2 km,00:14:38,---,42.2 km,DNF
Duncan Atherton,---,869,---,321,35-39,41,---,GBR,---,---,01:11:23,3.9 km,00:08:34,07:43:37,180.2 km,00:08:19,04:59:58,42.2 km,14:11:53
