name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Kyle Buckingham,1,1,1,4,PRO,32,---,ZAF,---,5000,00:52:46,2.4 mi,00:02:18,04:30:39,112 mi,00:02:02,03:00:13,26.2 mi,08:27:58
Chris Mcdonald,2,2,2,2,PRO,38,CO,AUS,---,4917,00:55:37,2.4 mi,00:01:55,04:32:58,112 mi,00:02:21,03:02:02,26.2 mi,08:34:53
Jonathan Shearon,3,3,3,17,PRO,36,AZ,USA,---,4862,00:55:38,2.4 mi,00:02:22,04:33:41,112 mi,00:02:32,03:05:11,26.2 mi,08:39:24
Barrett Brandon,4,4,4,5,PRO,34,TX,USA,---,4804,00:49:19,2.4 mi,00:01:59,04:43:24,112 mi,00:02:42,03:06:53,26.2 mi,08:44:17
Richie Cunningham,5,5,5,3,PRO,43,CO,AUS,---,4775,00:52:54,2.4 mi,00:02:19,04:35:24,112 mi,00:02:12,03:13:50,26.2 mi,08:46:39
Jim Lubinski,6,6,6,14,PRO,37,CA,USA,---,4643,01:07:12,2.4 mi,00:03:49,04:47:20,112 mi,00:02:36,02:56:43,26.2 mi,08:57:40
Jesse Vondracek,7,7,7,19,PRO,35,AZ,USA,---,4608,00:55:40,2.4 mi,00:02:05,04:52:57,112 mi,00:02:02,03:07:52,26.2 mi,09:00:36
Doug Maclean,8,8,8,15,PRO,36,NY,USA,---,4588,00:59:35,2.4 mi,00:02:53,04:50:58,112 mi,00:03:56,03:04:56,26.2 mi,09:02:18
Colin Laughery,9,9,9,13,PRO,33,CO,USA,---,4449,00:59:34,2.4 mi,00:03:14,04:55:14,112 mi,00:02:47,03:13:04,26.2 mi,09:13:53
Antonio Ferreira Da Silva Neto,10,1,10,156,35-39,37,SP,BRA,---,5000,00:53:58,2.4 mi,00:03:28,05:06:48,112 mi,00:02:04,03:07:37,26.2 mi,09:13:55
Nicholas Granet,11,10,11,11,PRO,22,NV,FRA,---,4402,00:52:49,2.4 mi,00:02:54,05:02:05,112 mi,00:03:04,03:16:54,26.2 mi,09:17:46
Sarah Piampiano,1,1,12,25,PRO,36,CA,USA,---,5000,01:08:58,2.4 mi,00:02:45,04:57:13,112 mi,00:03:02,03:07:07,26.2 mi,09:19:05
